fruit,category,image,gt_damage,damage_group,Raw Otsu,AWDP_A,A-AWDP_B,A-AWDP_C,A-AWDP_D,A-AWDP_E
Apple,Overripe,Apple_Overripe_084,0.0,Low,36.79901794784964,17.375515564150863,20.728122751227566,24.902161863994245,18.655700373560784,22.862463956481534
Apple,Ripe,Apple_Ripe_084,0.0,Low,71.38694816487171,20.61711825842054,26.84145954575617,35.986785465036455,21.684680997727064,27.402865071408023
Apple,Rotten,Apple_Rotten_084,32.38764953119948,High,63.24630886949024,14.766951868382233,20.805475148857635,29.70226315386222,14.766951868382233,14.766951868382233
Banana,Overripe,Banana_Overripe_084,23.818819668420755,Moderate,66.2918010524529,15.924406227012957,21.75688749257342,30.588503649635037,16.393828155944096,19.19872217639099
Banana,Ripe,Banana_Ripe_084,0.0,Low,47.27919108189224,12.86986763858618,17.193304315130593,23.492053932712235,13.11090896517034,14.571156122454157
Banana,Rotten,Banana_Rotten_084,29.234951150330918,Moderate,77.15940299851425,25.587346658890866,32.42728300447976,41.988740446738106,25.600943613243437,25.658063904989415
Grape,Overripe,Grape_Overripe_084,14.102967940641186,Moderate,52.91194176116477,20.496844457642098,25.529723292252903,32.154003892578395,21.346919008885447,24.580357674638982
Grape,Ripe,Grape_Ripe_094,0.0,Low,70.86026023705335,20.122357986241923,26.79632087782914,36.33374263283537,20.45994800420929,22.102447068734456
Grape,Rotten,Grape_Rotten_064,31.514435695538058,High,89.50656167979002,19.741126353346456,27.373257053805773,39.12517942093176,19.7641998851706,19.884331457822764
Guava,Class_A,Guava_Class_A_084,0.0,Low,37.33495482974288,14.658932379889825,18.172009653423242,22.81269199847623,15.258322497719771,18.658100601618216
Guava,Class_B,Guava_Class_B_084,10.054198349781588,Moderate,21.799061640511244,10.559147993852127,12.535480770203042,14.975314977349944,11.15629676629995,13.367040923542984
Guava,Defect,Guava_Defect_084,19.262295081967213,Moderate,43.16134395298484,18.349467406433654,22.3554805303704,27.51486743156511,19.131899219233297,22.553589368031
Mango,Overripe,Mango_Overripe_084,53.33374979177078,High,49.531484257871064,20.176162732435866,24.894612426859485,30.98961180217183,21.07947491098201,24.244343562662337
Mango,Ripe,Mango_Ripe_064,0.0,Low,48.82175166910283,12.615316009189941,17.35616179186584,24.169898727309093,12.642611959208214,12.776817820996039
Mango,Rotten,Mango_Rotten_084,14.752855103497502,Moderate,51.55171901023079,14.993815452690043,19.421926929983048,25.925393459656792,15.506229042127648,18.112586629481758
Melon,Overripe,Melon_Overripe_014,0.0,Low,82.485211170725,17.995116784461413,25.218898318200576,36.36630081510524,18.426423156125328,20.912624410948734
Melon,Ripe,Melon_Ripe_084,0.0,Low,34.44663752995911,13.849703547952204,17.197920980632315,21.51399817601861,14.308795313160863,16.183539414574646
Melon,Rotten,Melon_Rotten_010,20.547226185028666,Moderate,69.17848779306075,19.121800063003015,25.545369846201986,34.79698981857823,19.237446659830827,19.779146500188848
Orange,Overripe,Orange_Overripe_084,48.70793423141935,High,58.23515853096348,21.735733673903855,27.144800963927164,34.37825637549301,22.35081848572837,24.75508051543382
Orange,Ripe,Orange_Ripe_084,0.0,Low,56.14987198244331,10.826391905175567,15.89486022368782,23.74403846813277,10.826391905175567,10.826391905175567
Orange,Rotten,Orange_Rotten_084,51.733351840927234,High,49.03702675504042,18.88675331618489,23.453115782350693,29.521439981174307,19.834054862906445,23.772757574551544
Peach,Overripe,Peach_Overripe_084,4.917290860473999,Low,41.637740612180494,15.421419051336136,19.34504284931325,24.60224350357493,15.993221688624171,18.73708493710017
Peach,Ripe,Peach_Ripe_084,2.4156509450627097,Low,17.645166174577938,9.595234226151046,11.10364648393141,12.901081392579556,10.423189898143942,12.91749689126927
Peach,Rotten,Peach_Rotten_084,5.9674585244517475,Low,24.748978800118664,11.910692968268638,14.204910628964996,17.01568285254216,12.606509070636795,14.931675005831742
Pear,Overripe,Pear_Overripe_032,20.930475115343082,Moderate,40.33756257975852,17.496875805254245,21.313277645528615,26.16116463921542,18.163937877319132,21.157805691480625
Pear,Ripe,Pear_Ripe_047,4.896661122404977,Low,67.15794985523317,7.934647767327744,12.997226906609994,21.868689311510504,7.936654824951487,7.947549855750132
Pear,Rotten,Pear_Rotten_084,22.847857432523767,Moderate,40.23565989275898,22.040957980838552,25.259044500940615,29.205814826183936,23.581291380587345,30.065515324992273
