fruit,category,image,method,hsv_k,component_ratio,iou,dice,precision,recall
Apple,Ripe,Apple_Ripe_084.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + HSV(k=0.5) + Morphology,0.5,,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0005),0.5,0.0005,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.001),0.5,0.001,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0025),0.5,0.0025,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + HSV(k=0.75) + Morphology,0.75,,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0005),0.75,0.0005,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.001),0.75,0.001,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0025),0.75,0.0025,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + HSV(k=1.0) + Morphology,1.0,,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0005),1.0,0.0005,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.001),1.0,0.001,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0025),1.0,0.0025,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + HSV(k=0.5) + Morphology,0.5,,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0005),0.5,0.0005,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.001),0.5,0.001,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0025),0.5,0.0025,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + HSV(k=0.75) + Morphology,0.75,,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0005),0.75,0.0005,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.001),0.75,0.001,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0025),0.75,0.0025,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + HSV(k=1.0) + Morphology,1.0,,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0005),1.0,0.0005,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.001),1.0,0.001,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0025),1.0,0.0025,0.0,0.0,0.0,0.0
Apple,Rotten,Apple_Rotten_084.jpg,Original Otsu,,,0.38166862514688604,0.5524749106990985,0.41904270416720424,0.8105814824057899
Apple,Rotten,Apple_Rotten_084.jpg,Otsu + Morphology 7x7,,,0.38263343799058086,0.5534850054641707,0.4200831591873667,0.8110390150569836
