method,hsv_k,component_ratio,iou,dice,precision,recall,overall_score
Otsu + Morphology 7x7,,,0.1952000829088777,0.27969612537326993,0.21972649919769835,0.49762417490564426,0.2980617205963726
Original Otsu,,,0.19425459175960938,0.27872488437120574,0.2186524399576951,0.49776513544523915,0.2973492628834373
Otsu + HSV(k=0.5) + Morphology,0.5,,0.1329962071447221,0.2044036534830443,0.24889261705181998,0.2638874845282123,0.21254499055194967
Otsu + HSV(k=0.5) + Morph + Components(0.0005),0.5,0.0005,0.13277822783247162,0.2041173196883499,0.24908234802828225,0.26349658935747483,0.21236862122664463
Otsu + HSV(k=0.5) + Morph + Components(0.001),0.5,0.001,0.13244078767426432,0.20363577518678783,0.25035751784181404,0.26256075514566873,0.21224870896213371
Otsu + HSV(k=0.5) + Morph + Components(0.0025),0.5,0.0025,0.12910059588966963,0.19888647951732163,0.24691694764768185,0.2580882884923543,0.20824807788675687
Otsu + HSV(k=0.75) + Morphology,0.75,,0.12769725498458123,0.19686843981711297,0.24432512541770515,0.25532812090676515,0.2060547352815411
Otsu + HSV(k=0.75) + Morph + Components(0.0005),0.75,0.0005,0.12746341159172778,0.19655276176692466,0.24485777348093726,0.2549122715270013,0.20594655459164773
Otsu + HSV(k=0.75) + Morph + Components(0.001),0.75,0.001,0.12695149271378306,0.19580223137992553,0.24667270258830862,0.2538229461865005,0.20581234321712943
Otsu + HSV(k=0.75) + Morph + Components(0.0025),0.75,0.0025,0.12340911189193712,0.1905742059313222,0.2425307366674975,0.24901296972744472,0.2013817560545504
Otsu + HSV(k=1.0) + Morphology,1.0,,0.1219236981999687,0.18754271232433056,0.23736760424572528,0.2457354311250702,0.1981423614737737
Otsu + HSV(k=1.0) + Morph + Components(0.0005),1.0,0.0005,0.12168177504526906,0.18721774702519992,0.23808538848830504,0.2453338412933214,0.19807968796302386
Otsu + HSV(k=1.0) + Morph + Components(0.001),1.0,0.001,0.12098145662034342,0.1861701282405569,0.23959073708280615,0.24408611295108784,0.19770710872369857
Otsu + HSV(k=1.0) + Morph + Components(0.0025),1.0,0.0025,0.11767238371760522,0.18116919967651426,0.2390204127411051,0.2394449828856066,0.19432674475520778
