fruit,category,image,method,gt_damage_percentage,raw_damage_percentage,predicted_damage_percentage,absolute_error,intensity_weight,colour_weight,texture_weight
Apple,Overripe,Apple_Overripe_084,AWDP_A,0.0,36.79901794784964,17.375515564150863,17.375515564150863,0.5,0.3,0.2
Apple,Overripe,Apple_Overripe_084,AWDP_B,0.0,36.79901794784964,18.4297533096639,18.4297533096639,0.4,0.4,0.2
Apple,Overripe,Apple_Overripe_084,AWDP_C,0.0,36.79901794784964,16.801805764265154,16.801805764265154,0.4,0.3,0.3
Apple,Overripe,Apple_Overripe_084,AWDP_D,0.0,36.79901794784964,17.05138808785557,17.05138808785557,0.33,0.34,0.33
Apple,Overripe,Apple_Overripe_084,AWDP_E,0.0,36.79901794784964,19.48399105517694,19.48399105517694,0.3,0.5,0.2
Apple,Ripe,Apple_Ripe_084,AWDP_A,0.0,71.38694816487171,20.61711825842054,20.61711825842054,0.5,0.3,0.2
Apple,Ripe,Apple_Ripe_084,AWDP_B,0.0,71.38694816487171,21.24563903184779,21.24563903184779,0.4,0.4,0.2
Apple,Ripe,Apple_Ripe_084,AWDP_C,0.0,71.38694816487171,20.65863341195808,20.65863341195808,0.4,0.3,0.3
Apple,Ripe,Apple_Ripe_084,AWDP_D,0.0,71.38694816487171,20.92249626739024,20.92249626739024,0.33,0.34,0.33
Apple,Ripe,Apple_Ripe_084,AWDP_E,0.0,71.38694816487171,21.87415682586112,21.87415682586112,0.3,0.5,0.2
Apple,Rotten,Apple_Rotten_084,AWDP_A,32.38764953119948,63.24630886949024,14.766951868382233,17.620697662817246,0.5,0.3,0.2
Apple,Rotten,Apple_Rotten_084,AWDP_B,32.38764953119948,63.24630886949024,15.965524733689648,16.42212479750983,0.4,0.4,0.2
Apple,Rotten,Apple_Rotten_084,AWDP_C,32.38764953119948,63.24630886949024,15.2134576816602,17.174191849539277,0.4,0.3,0.3
Apple,Rotten,Apple_Rotten_084,AWDP_D,32.38764953119948,63.24630886949024,15.826837650878328,16.56081188032115,0.33,0.34,0.33
Apple,Rotten,Apple_Rotten_084,AWDP_E,32.38764953119948,63.24630886949024,17.16410023010629,15.22354930109319,0.3,0.5,0.2
Banana,Overripe,Banana_Overripe_084,AWDP_A,23.818819668420755,66.2918010524529,15.924406227012957,7.8944134414077975,0.5,0.3,0.2
Banana,Overripe,Banana_Overripe_084,AWDP_B,23.818819668420755,66.2918010524529,17.031994868584846,6.786824799835909,0.4,0.4,0.2
Banana,Overripe,Banana_Overripe_084,AWDP_C,23.818819668420755,66.2918010524529,16.797198255283483,7.021621413137272,0.4,0.3,0.3
Banana,Overripe,Banana_Overripe_084,AWDP_D,23.818819668420755,66.2918010524529,17.50207021524713,6.316749453173625,0.33,0.34,0.33
Banana,Overripe,Banana_Overripe_084,AWDP_E,23.818819668420755,66.2918010524529,18.139583510156736,5.679236158264018,0.3,0.5,0.2
Banana,Ripe,Banana_Ripe_084,AWDP_A,0.0,47.27919108189224,12.86986763858618,12.86986763858618,0.5,0.3,0.2
Banana,Ripe,Banana_Ripe_084,AWDP_B,0.0,47.27919108189224,14.141602330128093,14.141602330128093,0.4,0.4,0.2
Banana,Ripe,Banana_Ripe_084,AWDP_C,0.0,47.27919108189224,13.390946671062151,13.390946671062151,0.4,0.3,0.3
Banana,Ripe,Banana_Ripe_084,AWDP_D,0.0,47.27919108189224,14.055964693574033,14.055964693574033,0.33,0.34,0.33
Banana,Ripe,Banana_Ripe_084,AWDP_E,0.0,47.27919108189224,15.413335277060705,15.413335277060705,0.3,0.5,0.2
Banana,Rotten,Banana_Rotten_084,AWDP_A,29.234951150330918,77.15940299851425,25.587346658890866,3.6476044914400525,0.5,0.3,0.2
