Image,Method,IoU,Dice,Precision,Recall
image_0.jpg,Otsu,0.4365,0.6077,0.4477,0.9457
image_0.jpg,Adaptive,0.2442,0.3926,0.4886,0.3281
image_0.jpg,Colour-Based,0.4533,0.6238,0.6011,0.6483
image_1.jpg,Otsu,0.5343,0.6964,0.5635,0.9116
image_1.jpg,Adaptive,0.2954,0.4560,0.5668,0.3815
image_1.jpg,Colour-Based,0.4109,0.5825,0.6946,0.5015
image_10.jpg,Otsu,0.4730,0.6422,0.4909,0.9285
image_10.jpg,Adaptive,0.2553,0.4068,0.5428,0.3253
image_10.jpg,Colour-Based,0.4474,0.6182,0.6407,0.5972
image_100.jpg,Otsu,0.5486,0.7085,0.5645,0.9511
image_100.jpg,Adaptive,0.2500,0.4000,0.6873,0.2821
image_100.jpg,Colour-Based,0.4882,0.6561,0.8099,0.5514
image_101.jpg,Otsu,0.5719,0.7276,0.5914,0.9453
image_101.jpg,Adaptive,0.3029,0.4649,0.6732,0.3551
image_101.jpg,Colour-Based,0.5568,0.7153,0.7942,0.6506
image_102.jpg,Otsu,0.5615,0.7192,0.5728,0.9660
image_102.jpg,Adaptive,0.2864,0.4452,0.6516,0.3381
image_102.jpg,Colour-Based,0.5115,0.6768,0.8215,0.5755
image_103.jpg,Otsu,0.5481,0.7081,0.5576,0.9698
image_103.jpg,Adaptive,0.2842,0.4426,0.6619,0.3324
image_103.jpg,Colour-Based,0.5297,0.6926,0.8329,0.5927
image_104.jpg,Otsu,0.6448,0.7840,0.6664,0.9519
image_104.jpg,Adaptive,0.2725,0.4283,0.7060,0.3073
image_104.jpg,Colour-Based,0.5204,0.6846,0.8429,0.5763
image_105.jpg,Otsu,0.6862,0.8139,0.7194,0.9369
image_105.jpg,Adaptive,0.3014,0.4632,0.7255,0.3402
image_105.jpg,Colour-Based,0.5023,0.6687,0.8590,0.5474
image_106.jpg,Otsu,0.5997,0.7497,0.6291,0.9277
image_106.jpg,Adaptive,0.2940,0.4544,0.6752,0.3425
image_106.jpg,Colour-Based,0.4992,0.6659,0.8190,0.5611
image_107.jpg,Otsu,0.6097,0.7575,0.6543,0.8995
image_107.jpg,Adaptive,0.2913,0.4512,0.6875,0.3358
image_107.jpg,Colour-Based,0.4910,0.6587,0.8003,0.5596
image_108.jpg,Otsu,0.4864,0.6545,0.5088,0.9171
image_108.jpg,Adaptive,0.2194,0.3598,0.5417,0.2694
image_108.jpg,Colour-Based,0.5226,0.6865,0.7166,0.6588
image_109.jpg,Otsu,0.4558,0.6262,0.4744,0.9206
image_109.jpg,Adaptive,0.2533,0.4042,0.5463,0.3208
image_109.jpg,Colour-Based,0.5379,0.6995,0.7024,0.6967
image_11.jpg,Otsu,0.5238,0.6875,0.5606,0.8885
image_11.jpg,Adaptive,0.2755,0.4320,0.6015,0.3370
image_11.jpg,Colour-Based,0.4246,0.5961,0.7372,0.5003
image_110.jpg,Otsu,0.4625,0.6325,0.4915,0.8867
image_110.jpg,Adaptive,0.2637,0.4173,0.6067,0.3180
image_110.jpg,Colour-Based,0.4767,0.6457,0.6818,0.6132
image_111.jpg,Otsu,0.6336,0.7757,0.7097,0.8552
image_111.jpg,Adaptive,0.2963,0.4571,0.7218,0.3345
image_111.jpg,Colour-Based,0.5370,0.6988,0.8275,0.6047
image_112.jpg,Otsu,0.5347,0.6968,0.5811,0.8700
image_112.jpg,Adaptive,0.2794,0.4367,0.6206,0.3369
image_112.jpg,Colour-Based,0.4720,0.6413,0.7803,0.5444
image_113.jpg,Otsu,0.5802,0.7343,0.6224,0.8954
image_113.jpg,Adaptive,0.2754,0.4318,0.6195,0.3314
image_113.jpg,Colour-Based,0.4986,0.6655,0.7907,0.5744
image_114.jpg,Otsu,0.5973,0.7479,0.6590,0.8646
image_114.jpg,Adaptive,0.2622,0.4155,0.5948,0.3192
image_114.jpg,Colour-Based,0.5910,0.7430,0.8200,0.6792
image_115.jpg,Otsu,0.5068,0.6727,0.5503,0.8650
image_115.jpg,Adaptive,0.2496,0.3995,0.5375,0.3179
image_115.jpg,Colour-Based,0.5008,0.6674,0.7633,0.5929
image_116.jpg,Otsu,0.4988,0.6656,0.5170,0.9343
image_116.jpg,Adaptive,0.2891,0.4485,0.6227,0.3505
image_116.jpg,Colour-Based,0.4783,0.6471,0.8257,0.5320
image_117.jpg,Otsu,0.5003,0.6670,0.5964,0.7564
image_117.jpg,Adaptive,0.2370,0.3832,0.6888,0.2654
image_117.jpg,Colour-Based,0.3632,0.5329,0.8188,0.3949
image_118.jpg,Otsu,0.5061,0.6720,0.6321,0.7173
image_118.jpg,Adaptive,0.2205,0.3614,0.6371,0.2522
image_118.jpg,Colour-Based,0.3606,0.5300,0.7994,0.3965
image_119.jpg,Otsu,0.4529,0.6235,0.5424,0.7330
image_119.jpg,Adaptive,0.2338,0.3790,0.6522,0.2671
image_119.jpg,Colour-Based,0.3483,0.5166,0.7596,0.3914
image_12.jpg,Otsu,0.5603,0.7182,0.6015,0.8909
image_12.jpg,Adaptive,0.2709,0.4263,0.6340,0.3211
image_12.jpg,Colour-Based,0.3164,0.4807,0.7626,0.3509
image_120.jpg,Otsu,0.4128,0.5844,0.5064,0.6908
image_120.jpg,Adaptive,0.2278,0.3711,0.6268,0.2635
image_120.jpg,Colour-Based,0.2513,0.4016,0.7038,0.2810
image_121.jpg,Otsu,0.6121,0.7594,0.7158,0.8087
image_121.jpg,Adaptive,0.2469,0.3960,0.7560,0.2682
image_121.jpg,Colour-Based,0.3801,0.5509,0.8901,0.3988
image_122.jpg,Otsu,0.6305,0.7734,0.7486,0.7999
image_122.jpg,Adaptive,0.2674,0.4220,0.7900,0.2879
image_122.jpg,Colour-Based,0.3848,0.5558,0.8928,0.4035
image_123.jpg,Otsu,0.5813,0.7352,0.7558,0.7157
image_123.jpg,Adaptive,0.2472,0.3964,0.7521,0.2691
image_123.jpg,Colour-Based,0.3926,0.5638,0.8919,0.4122
image_124.jpg,Otsu,0.6494,0.7875,0.7769,0.7983
image_124.jpg,Adaptive,0.2607,0.4135,0.8197,0.2765
image_124.jpg,Colour-Based,0.4103,0.5818,0.9155,0.4264
image_125.jpg,Otsu,0.5714,0.7273,0.6950,0.7626
image_125.jpg,Adaptive,0.2521,0.4027,0.7546,0.2746
image_125.jpg,Colour-Based,0.3614,0.5310,0.8182,0.3930
image_126.jpg,Otsu,0.6218,0.7668,0.7253,0.8133
image_126.jpg,Adaptive,0.2761,0.4327,0.7560,0.3031
image_126.jpg,Colour-Based,0.4184,0.5899,0.8734,0.4454
image_127.jpg,Otsu,0.6577,0.7935,0.7627,0.8269
image_127.jpg,Adaptive,0.2847,0.4433,0.7455,0.3154
image_127.jpg,Colour-Based,0.4705,0.6400,0.8978,0.4972
,,,,,
AVERAGE,Otsu,0.5530,0.7096,0.6119,0.8650
AVERAGE,Adaptive,0.2657,0.4193,0.6573,0.3112
AVERAGE,Colour-Based,0.4518,0.6184,0.7935,0.5197
