Image,Fruit Pixels,Blemish Pixels,Blemish Percentage
image_0.jpg,173939,69286,39.83
image_1.jpg,161847,54342,33.58
image_10.jpg,227727,81069,35.60
image_100.jpg,105774,38515,36.41
image_101.jpg,93916,39153,41.69
image_102.jpg,85238,31810,37.32
image_103.jpg,104155,39607,38.03
image_104.jpg,106862,43973,41.15
image_105.jpg,97089,39336,40.52
image_106.jpg,94758,36927,38.97
image_107.jpg,106578,44058,41.34
image_108.jpg,117815,48592,41.24
image_109.jpg,109954,43337,39.41
image_11.jpg,187439,56872,30.34
image_110.jpg,105677,39444,37.33
image_111.jpg,104327,46207,44.29
image_112.jpg,101176,37825,37.39
image_113.jpg,111960,39726,35.48
image_114.jpg,88742,38365,43.23
image_115.jpg,104263,34914,33.49
image_116.jpg,99198,27493,27.72
image_117.jpg,145311,46880,32.26
image_118.jpg,145061,48096,33.16
image_119.jpg,145203,46465,32.00
image_12.jpg,190123,43824,23.05
image_120.jpg,122617,30139,24.58
image_121.jpg,134215,45353,33.79
image_122.jpg,156239,52492,33.60
image_123.jpg,146370,49820,34.04
image_124.jpg,156644,57369,36.62
image_125.jpg,153371,50959,33.23
image_126.jpg,157540,55490,35.22
image_127.jpg,150083,57447,38.28
image_128.jpg,155238,52527,33.84
image_129.jpg,170579,55436,32.50
image_13.jpg,221846,62503,28.17
image_130.jpg,172382,83248,48.29
image_131.jpg,152407,52317,34.33
image_132.jpg,169318,62852,37.12
image_133.jpg,184284,77133,41.86
image_134.jpg,159247,62600,39.31
image_135.jpg,172185,66432,38.58
image_136.jpg,160873,55434,34.46
image_137.jpg,135445,56228,41.51
image_138.jpg,152305,49945,32.79
image_139.jpg,146533,51116,34.88
image_14.jpg,224639,80792,35.97
image_140.jpg,152665,44491,29.14
image_141.jpg,145027,51023,35.18
image_142.jpg,140142,51459,36.72
image_143.jpg,137154,64402,46.96
image_144.jpg,155124,66671,42.98
image_145.jpg,130196,49826,38.27
image_146.jpg,111699,40415,36.18
image_147.jpg,122160,47060,38.52
image_148.jpg,174855,70778,40.48
image_149.jpg,172367,66808,38.76
image_15.jpg,227861,82025,36.00
image_150.jpg,162741,70165,43.11
image_151.jpg,165717,68362,41.25
image_152.jpg,147010,60008,40.82
image_153.jpg,155633,67516,43.38
image_154.jpg,172895,70982,41.05
image_155.jpg,149195,51335,34.41
image_156.jpg,152129,46070,30.28
image_157.jpg,169644,63310,37.32
image_158.jpg,143304,51057,35.63
image_159.jpg,156687,51479,32.85
image_16.jpg,226401,72936,32.22
