fruit,category,image,method,intensity_weight,cosine_weight,iou,dice,precision,recall
Apple,Ripe,Apple_Ripe_084.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Cosine-Guided Otsu + Morphology,,,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Cosine-Guided Otsu + Morphology,,,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.0,0.0,0.0,0.0
Apple,Rotten,Apple_Rotten_084.jpg,Original Otsu,,,0.38166862514688604,0.5524749106990985,0.41904270416720424,0.8105814824057899
Apple,Rotten,Apple_Rotten_084.jpg,Otsu + Morphology 7x7,,,0.38263343799058086,0.5534850054641707,0.4200831591873667,0.8110390150569836
Apple,Rotten,Apple_Rotten_084.jpg,Cosine-Guided Otsu + Morphology,,,0.1653650115093719,0.2837995132446827,0.9336272917150151,0.16733216870476667
Apple,Rotten,Apple_Rotten_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.26447611951061223,0.41831730220887353,0.3852051533398684,0.45765743282588806
Apple,Rotten,Apple_Rotten_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.286618865816184,0.4455381052326844,0.39428681227182477,0.5121038183179436
Apple,Rotten,Apple_Rotten_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.3078743117440241,0.4708010685422514,0.3966214676390155,0.5791115547791366
Apple,Rotten,Apple_Rotten_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.3207622868605817,0.485722964763062,0.40867268699948883,0.5985774893935613
Banana,Ripe,Banana_Ripe_084.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Cosine-Guided Otsu + Morphology,,,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.0,0.0,0.0,0.0
Banana,Overripe,Banana_Overripe_084.jpg,Original Otsu,,,0.3593079141300865,0.5286630209315482,0.3594384375400658,0.9989903789048581
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + Morphology 7x7,,,0.3591413230286404,0.5284826779136527,0.3592640447638472,0.9990497683810429
