Image,Method,Ground Truth (%),Predicted (%),Absolute Error
image_0.jpg,Otsu,36.85,78.00,41.15
image_0.jpg,Otsu + Morphology,36.85,74.42,37.57
image_0.jpg,Colour-Based,36.85,39.83,2.99
image_0.jpg,Hybrid,36.85,34.96,1.89
image_1.jpg,Otsu,46.35,75.24,28.89
image_1.jpg,Otsu + Morphology,46.35,72.40,26.05
image_1.jpg,Colour-Based,46.35,33.58,12.78
image_1.jpg,Hybrid,46.35,26.43,19.93
image_10.jpg,Otsu,38.02,72.23,34.21
image_10.jpg,Otsu + Morphology,38.02,69.36,31.34
image_10.jpg,Colour-Based,38.02,35.60,2.42
image_10.jpg,Hybrid,38.02,31.69,6.33
image_100.jpg,Otsu,51.89,90.11,38.22
image_100.jpg,Otsu + Morphology,51.89,88.65,36.76
image_100.jpg,Colour-Based,51.89,36.41,15.48
image_100.jpg,Hybrid,51.89,30.72,21.17
image_101.jpg,Otsu,49.34,81.34,32.00
image_101.jpg,Otsu + Morphology,49.34,79.55,30.21
image_101.jpg,Colour-Based,49.34,41.69,7.65
image_101.jpg,Hybrid,49.34,35.80,13.54
image_102.jpg,Otsu,53.23,89.85,36.62
image_102.jpg,Otsu + Morphology,53.23,88.42,35.20
image_102.jpg,Colour-Based,53.23,37.32,15.91
image_102.jpg,Hybrid,53.23,30.45,22.78
image_103.jpg,Otsu,53.14,92.94,39.80
image_103.jpg,Otsu + Morphology,53.14,91.91,38.77
image_103.jpg,Colour-Based,53.14,38.03,15.11
image_103.jpg,Hybrid,53.14,31.54,21.59
image_104.jpg,Otsu,59.81,85.96,26.14
image_104.jpg,Otsu + Morphology,59.81,84.86,25.04
image_104.jpg,Colour-Based,59.81,41.15,18.66
image_104.jpg,Hybrid,59.81,35.73,24.08
image_105.jpg,Otsu,62.88,82.81,19.93
image_105.jpg,Otsu + Morphology,62.88,81.54,18.67
image_105.jpg,Colour-Based,62.88,40.52,22.36
image_105.jpg,Hybrid,62.88,33.16,29.71
image_106.jpg,Otsu,56.11,83.88,27.77
image_106.jpg,Otsu + Morphology,56.11,81.66,25.55
image_106.jpg,Colour-Based,56.11,38.97,17.14
image_106.jpg,Hybrid,56.11,31.24,24.87
image_107.jpg,Otsu,56.92,81.27,24.35
image_107.jpg,Otsu + Morphology,56.92,79.54,22.62
image_107.jpg,Colour-Based,56.92,41.34,15.58
image_107.jpg,Hybrid,56.92,35.05,21.87
image_108.jpg,Otsu,42.91,80.86,37.96
image_108.jpg,Otsu + Morphology,42.91,78.59,35.68
image_108.jpg,Colour-Based,42.91,41.24,1.66
image_108.jpg,Hybrid,42.91,37.36,5.55
image_109.jpg,Otsu,38.19,77.11,38.92
image_109.jpg,Otsu + Morphology,38.19,74.33,36.14
image_109.jpg,Colour-Based,38.19,39.41,1.22
image_109.jpg,Hybrid,38.19,34.76,3.44
