fruit,category,image,method,iou,dice,precision,recall
Apple,Ripe,Apple_Ripe_084.jpg,Otsu,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Adaptive,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,HSV,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Adaptive,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,HSV,0.0,0.0,0.0,0.0
Apple,Rotten,Apple_Rotten_084.jpg,Otsu,0.38166862514688604,0.5524749106990985,0.41904270416720424,0.8105814824057899
Apple,Rotten,Apple_Rotten_084.jpg,Adaptive,0.20583261542388565,0.3413950042337002,0.46916363636363634,0.2683221029864404
Apple,Rotten,Apple_Rotten_084.jpg,HSV,0.10364431007853833,0.18782194432038113,0.33050403437074294,0.13118708926046085
Banana,Ripe,Banana_Ripe_084.jpg,Otsu,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Adaptive,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,HSV,0.0,0.0,0.0,0.0
Banana,Overripe,Banana_Overripe_084.jpg,Otsu,0.3593079141300865,0.5286630209315482,0.3594384375400658,0.9989903789048581
Banana,Overripe,Banana_Overripe_084.jpg,Adaptive,0.24433406398938204,0.3927145789227015,0.4308357859650367,0.3607910678227818
Banana,Overripe,Banana_Overripe_084.jpg,HSV,0.0,0.0,0.0,0.0
Banana,Rotten,Banana_Rotten_084.jpg,Otsu,0.2496537556740996,0.39955668446645703,0.2757333567539083,0.7252391860935183
Banana,Rotten,Banana_Rotten_084.jpg,Adaptive,0.2134564771608028,0.3518156294492569,0.5696802551064379,0.2544901534256069
Banana,Rotten,Banana_Rotten_084.jpg,HSV,0.25833684358326314,0.4106004602831439,0.7453413003848491,0.2833464877663773
Grape,Ripe,Grape_Ripe_094.jpg,Otsu,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Adaptive,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,HSV,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Adaptive,0.1467437270933183,0.2559311616472034,0.2535622944830106,0.2583447077801216
Grape,Overripe,Grape_Overripe_084.jpg,HSV,0.2792256948199416,0.4365542311268915,0.6848806366047745,0.320387144807048
Grape,Rotten,Grape_Rotten_064.jpg,Otsu,0.3339821620522356,0.5007295772807457,0.33901503981126513,0.95744149246273
Grape,Rotten,Grape_Rotten_064.jpg,Adaptive,0.24259836917856947,0.39046947943274907,0.41433778857837184,0.36920129924210876
Grape,Rotten,Grape_Rotten_064.jpg,HSV,0.13735522320926571,0.24153443076770972,0.2971296521527609,0.20346464562338637
Guava,Class_A,Guava_Class_A_084.jpg,Otsu,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Adaptive,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,HSV,0.0,0.0,0.0,0.0
Guava,Class_B,Guava_Class_B_084.jpg,Otsu,0.4351953669085844,0.6064614991699655,0.44424904587293274,0.9552659103709068
Guava,Class_B,Guava_Class_B_084.jpg,Adaptive,0.25287938235666374,0.4036771391049601,0.5422716786538201,0.32150615496017376
Guava,Class_B,Guava_Class_B_084.jpg,HSV,0.6221298595975467,0.7670530887729275,0.6270562991723715,0.9875291656609542
Guava,Defect,Guava_Defect_084.jpg,Otsu,0.3246177433389964,0.49013044702349295,0.35604235786029176,0.7862304295463669
Guava,Defect,Guava_Defect_084.jpg,Adaptive,0.29177801686738625,0.45174637291778613,0.4861785796900301,0.42186872741870735
Guava,Defect,Guava_Defect_084.jpg,HSV,0.4528454579612127,0.6233910915710108,0.5164309964072645,0.7862304295463669
Mango,Ripe,Mango_Ripe_064.jpg,Otsu,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,Adaptive,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,HSV,0.0,0.0,0.0,0.0
Mango,Overripe,Mango_Overripe_084.jpg,Otsu,0.6509676228201212,0.7885892052906073,0.8227931349046397,0.7571155272713075
Mango,Overripe,Mango_Overripe_084.jpg,Adaptive,0.259142613657416,0.4116175734926287,0.8356033452807646,0.27306445945418345
Mango,Overripe,Mango_Overripe_084.jpg,HSV,0.26140772931864037,0.41446983912147406,0.9769431554524362,0.26303049232811465
Mango,Rotten,Mango_Rotten_084.jpg,Otsu,0.17473071865910508,0.2974821648633676,0.1917588584255251,0.6630380002015925
Mango,Rotten,Mango_Rotten_084.jpg,Adaptive,0.2579116660325805,0.4100632389331867,0.4511737657308809,0.3758189698619091
Mango,Rotten,Mango_Rotten_084.jpg,HSV,0.0142536335849292,0.02810664534579784,0.036049538534353553,0.023031952424150792
Melon,Ripe,Melon_Ripe_084.jpg,Otsu,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,Adaptive,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,HSV,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Otsu,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Adaptive,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,HSV,0.0,0.0,0.0,0.0
Melon,Rotten,Melon_Rotten_010.jpg,Otsu,0.26486373325213153,0.41880200418290425,0.2718482634683752,0.9115739831008056
Melon,Rotten,Melon_Rotten_010.jpg,Adaptive,0.13775080906148868,0.24214583362962752,0.21400739083435985,0.2788039562454968
Melon,Rotten,Melon_Rotten_010.jpg,HSV,0.007748950240379739,0.01537873145594718,0.019952990336902586,0.012510643872404532
Orange,Ripe,Orange_Ripe_084.jpg,Otsu,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,Adaptive,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,HSV,0.0,0.0,0.0,0.0
Orange,Overripe,Orange_Overripe_084.jpg,Otsu,0.4803573961140264,0.6489748994060165,0.5959487100534454,0.712359018850067
Orange,Overripe,Orange_Overripe_084.jpg,Adaptive,0.09546209186496957,0.17428643596867896,0.4371238517579981,0.10884139127691458
Orange,Overripe,Orange_Overripe_084.jpg,HSV,0.025223246069038467,0.04920537290926767,0.10029116790682627,0.032599837000814993
Orange,Rotten,Orange_Rotten_084.jpg,Otsu,0.7390036855779107,0.8499161809795968,0.8815791844604213,0.8204487523477327
Orange,Rotten,Orange_Rotten_084.jpg,Adaptive,0.20047539959469138,0.3339933490721702,0.686906129268038,0.22063657096860745
Orange,Rotten,Orange_Rotten_084.jpg,HSV,0.21717531311692936,0.3568513274571584,0.861038044524283,0.22506372417493964
Peach,Ripe,Peach_Ripe_084.jpg,Otsu,0.1371467459436226,0.2412120448532191,0.1371467459436226,1.0
Peach,Ripe,Peach_Ripe_084.jpg,Adaptive,0.09049437725440272,0.16596945228135032,0.13224806201550388,0.22277357012274746
Peach,Ripe,Peach_Ripe_084.jpg,HSV,0.14425200511449493,0.2521332791548151,0.14484690503054118,0.9723165317315225
Peach,Overripe,Peach_Overripe_084.jpg,Otsu,0.09610207655741806,0.17535242129866335,0.09830577877872754,0.810858735117791
Peach,Overripe,Peach_Overripe_084.jpg,Adaptive,0.08744340622290724,0.16082382903332965,0.10899975984630163,0.30659461285147344
Peach,Overripe,Peach_Overripe_084.jpg,HSV,0.2781216085413428,0.43520367183017783,0.29881507626370857,0.8006417292915646
Peach,Rotten,Peach_Rotten_084.jpg,Otsu,0.1982574204474552,0.3309095642794711,0.20541177013829567,0.8505736137667304
Peach,Rotten,Peach_Rotten_084.jpg,Adaptive,0.09483156437471159,0.1732349841938883,0.19295774647887323,0.15717017208413
Peach,Rotten,Peach_Rotten_084.jpg,HSV,0.0969201003974064,0.17671314503634847,0.11770122241625655,0.3543977055449331
Pear,Ripe,Pear_Ripe_047.jpg,Otsu,0.059772585846014595,0.11280266473075116,0.06050922585300485,0.8307910048749804
Pear,Ripe,Pear_Ripe_047.jpg,Adaptive,0.17973639643619763,0.30470602920983647,0.2526130601262548,0.38386538763956596
Pear,Ripe,Pear_Ripe_047.jpg,HSV,0.0,0.0,0.0,0.0
Pear,Overripe,Pear_Overripe_032.jpg,Otsu,0.28167887567128364,0.43954672425064883,0.3319469172189889,0.6503590795837608
Pear,Overripe,Pear_Overripe_032.jpg,Adaptive,0.09941754797715986,0.18085494116421952,0.16265892434849796,0.20363476476623185
Pear,Overripe,Pear_Overripe_032.jpg,HSV,0.21858353374839856,0.3587501844473956,0.4838067757822994,0.2850652205774586
Pear,Rotten,Pear_Rotten_084.jpg,Otsu,0.07756754936947509,0.1439678643160009,0.1128463476070529,0.1987920621225194
Pear,Rotten,Pear_Rotten_084.jpg,Adaptive,0.22714650464990588,0.3702027488799453,0.482120253164557,0.30045605817823245
Pear,Rotten,Pear_Rotten_084.jpg,HSV,0.0,0.0,0.0,0.0
