fruit,category,image,method,IoU,Dice,Precision,Recall,Damage_Percentage
Apple,Overripe,Apple_Overripe_084,Original Otsu,0.0,0.0,0.0,0.0,37.41280054182188
Apple,Overripe,Apple_Overripe_084,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0,36.79901794784964
Apple,Overripe,Apple_Overripe_084,FABR_A,0.0,0.0,0.0,0.0,23.71740602776837
Apple,Overripe,Apple_Overripe_084,FABR_B,0.0,0.0,0.0,0.0,23.861327463596343
Apple,Overripe,Apple_Overripe_084,FABR_C,0.0,0.0,0.0,0.0,25.435997290890622
Apple,Overripe,Apple_Overripe_084,FABR_D,0.0,0.0,0.0,0.0,25.487639688452425
Apple,Overripe,Apple_Overripe_084,FABR_E,0.0,0.0,0.0,0.0,24.01794784964443
Apple,Ripe,Apple_Ripe_084,Original Otsu,0.0,0.0,0.0,0.0,71.41249961863501
Apple,Ripe,Apple_Ripe_084,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0,71.38694816487171
Apple,Ripe,Apple_Ripe_084,FABR_A,0.0,0.0,0.0,0.0,21.344616651920553
Apple,Ripe,Apple_Ripe_084,FABR_B,0.0,0.0,0.0,0.0,21.255758611221285
Apple,Ripe,Apple_Ripe_084,FABR_C,0.0,0.0,0.0,0.0,23.63280654117216
Apple,Ripe,Apple_Ripe_084,FABR_D,0.0,0.0,0.0,0.0,23.400936632394668
Apple,Ripe,Apple_Ripe_084,FABR_E,0.0,0.0,0.0,0.0,21.243554931811943
Apple,Rotten,Apple_Rotten_084,Original Otsu,0.38336832283648237,0.5542534356293736,0.4185128596893303,0.8203144497130023,63.48205625606208
Apple,Rotten,Apple_Rotten_084,Otsu + Morphology 7x7,0.3838671319129028,0.5547745488864786,0.41943385375620357,0.8190666333915647,63.24630886949024
Apple,Rotten,Apple_Rotten_084,FABR_A,0.11965568755780039,0.21373657792744138,0.4523937600860678,0.13992180351052325,10.017243237417825
Apple,Rotten,Apple_Rotten_084,FABR_B,0.11911827045358203,0.2128787878787879,0.44147682639434405,0.14025455452957325,10.28936307791788
Apple,Rotten,Apple_Rotten_084,FABR_C,0.18401420959147424,0.3108310831083108,0.4514697726012202,0.23700191331835954,17.0021015195603
Apple,Rotten,Apple_Rotten_084,FABR_D,0.1761405298562183,0.2995229318009324,0.42996108949416345,0.22980617253140337,17.310593813988575
Apple,Rotten,Apple_Rotten_084,FABR_E,0.11668506762351642,0.20898473706976456,0.4062950504565113,0.14067049330338574,11.213492833279448
Banana,Overripe,Banana_Overripe_084,Original Otsu,0.35897353819889033,0.528300997935036,0.3590999818544729,0.9990200736429504,66.26421660159565
Banana,Overripe,Banana_Overripe_084,Otsu + Morphology 7x7,0.35885320562731315,0.5281706723599315,0.3589718968055822,0.9990794631191353,66.2918010524529
Banana,Overripe,Banana_Overripe_084,FABR_A,0.3681098561637224,0.5381290902997055,0.6627992873593187,0.4529338401235301,16.27694788660669
Banana,Overripe,Banana_Overripe_084,FABR_B,0.35822582626858335,0.5274908183018834,0.6750011575681808,0.43288989191115335,15.275420132405365
Banana,Overripe,Banana_Overripe_084,FABR_C,0.401808496351672,0.5732715950822289,0.6200179595220005,0.5330799382349448,20.478979233859558
Banana,Overripe,Banana_Overripe_084,FABR_D,0.393388806565599,0.5646504474730453,0.6287484059027145,0.5124124005226274,19.411673173767895
Banana,Overripe,Banana_Overripe_084,FABR_E,0.34426594717691034,0.5121991640120058,0.6741311618438273,0.41299441738923864,14.592174503479885
Banana,Ripe,Banana_Ripe_084,Original Otsu,0.0,0.0,0.0,0.0,47.80262969844219
Banana,Ripe,Banana_Ripe_084,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0,47.27919108189224
Banana,Ripe,Banana_Ripe_084,FABR_A,0.0,0.0,0.0,0.0,11.203908818064885
Banana,Ripe,Banana_Ripe_084,FABR_B,0.0,0.0,0.0,0.0,12.07035157924825
Banana,Ripe,Banana_Ripe_084,FABR_C,0.0,0.0,0.0,0.0,14.374017436044017
Banana,Ripe,Banana_Ripe_084,FABR_D,0.0,0.0,0.0,0.0,14.92246677147349
Banana,Ripe,Banana_Ripe_084,FABR_E,0.0,0.0,0.0,0.0,12.64381163355724
Banana,Rotten,Banana_Rotten_084,Original Otsu,0.24972937293729372,0.3996535223467523,0.27538267812820716,0.7283192484647815,77.31923371302508
Banana,Rotten,Banana_Rotten_084,Otsu + Morphology 7x7,0.24911626923559765,0.39886802433218727,0.2749976295194124,0.7257974473983099,77.15940299851425
Banana,Rotten,Banana_Rotten_084,FABR_A,0.24827547944445472,0.39778956413523364,0.3233031102120435,0.5168729666775752,46.73866552609068
Banana,Rotten,Banana_Rotten_084,FABR_B,0.24993582275231532,0.3999178489051787,0.33910702085761363,0.4873043679134502,42.01127819548872
Banana,Rotten,Banana_Rotten_084,FABR_C,0.25472152372799745,0.40602080845983285,0.32181603109333634,0.5499066356093711,49.9555400477241
Banana,Rotten,Banana_Rotten_084,FABR_D,0.2624314743428317,0.4157555949394281,0.3456259407607725,0.5215893121835717,44.11890504704876
Banana,Rotten,Banana_Rotten_084,FABR_E,0.12276639841664022,0.21868555843810283,0.8032987171655467,0.12657131306908964,4.606388726306785
Grape,Overripe,Grape_Overripe_084,Original Otsu,0.0,0.0,0.0,0.0,53.42818143637127
Grape,Overripe,Grape_Overripe_084,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0,52.91194176116477
Grape,Overripe,Grape_Overripe_084,FABR_A,0.0,0.0,0.0,0.0,27.925941481170373
Grape,Overripe,Grape_Overripe_084,FABR_B,0.005707865168539326,0.011350940698038164,0.008869953904176562,0.01575877900483931,25.0559988800224
Grape,Overripe,Grape_Overripe_084,FABR_C,0.010805465001282004,0.021379910131903174,0.01509955469109894,0.03660503784588658,34.18906621867563
Grape,Overripe,Grape_Overripe_084,FABR_D,0.040731174249950326,0.0782741504390989,0.05653300976228559,0.12718699590519916,31.728615427691448
Grape,Overripe,Grape_Overripe_084,FABR_E,0.024210721229515786,0.04727683615819209,0.0371818569600455,0.06489638913016503,24.615007699846004
Grape,Ripe,Grape_Ripe_094,Original Otsu,0.0,0.0,0.0,0.0,71.52461819341002
Grape,Ripe,Grape_Ripe_094,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0,70.86026023705335
Grape,Ripe,Grape_Ripe_094,FABR_A,0.0,0.0,0.0,0.0,17.28344973483641
Grape,Ripe,Grape_Ripe_094,FABR_B,0.0,0.0,0.0,0.0,15.414263772567885
Grape,Ripe,Grape_Ripe_094,FABR_C,0.0,0.0,0.0,0.0,22.533833714898428
Grape,Ripe,Grape_Ripe_094,FABR_D,0.0,0.0,0.0,0.0,20.34587185208798
Grape,Ripe,Grape_Ripe_094,FABR_E,0.0,0.0,0.0,0.0,13.355261251340309
Grape,Rotten,Grape_Rotten_064,Original Otsu,0.33399066206536554,0.5007391304347826,0.33880504809813783,0.9591904722245357,89.22047244094489
Grape,Rotten,Grape_Rotten_064,Otsu + Morphology 7x7,0.33750072518419677,0.5046737079528942,0.34118233534690046,0.969018072790872,89.50656167979002
Grape,Rotten,Grape_Rotten_064,FABR_A,0.073275060442626,0.13654479293016808,0.14227678974451566,0.13125676688598317,29.073490813648295
Grape,Rotten,Grape_Rotten_064,FABR_B,0.04567914790820248,0.08736742623122966,0.11819860775678363,0.06929291246772716,18.4750656167979
Grape,Rotten,Grape_Rotten_064,FABR_C,0.120568899583208,0.21519230031826372,0.19940306992609438,0.23369701007745483,36.93438320209974
Grape,Rotten,Grape_Rotten_064,FABR_D,0.1141880341880342,0.2049708499539736,0.21636128076994263,0.1947197468143583,28.36220472440945
Grape,Rotten,Grape_Rotten_064,FABR_E,0.005611601513240858,0.01116057433067904,0.022577371892440384,0.007412342800033314,10.346456692913385
Guava,Class_A,Guava_Class_A_084,Original Otsu,0.0,0.0,0.0,0.0,37.581074820477184
Guava,Class_A,Guava_Class_A_084,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0,37.33495482974288
Guava,Class_A,Guava_Class_A_084,FABR_A,0.0,0.0,0.0,0.0,20.219481121148945
Guava,Class_A,Guava_Class_A_084,FABR_B,0.0,0.0,0.0,0.0,21.11999073430623
Guava,Class_A,Guava_Class_A_084,FABR_C,0.0,0.0,0.0,0.0,24.75677553856845
Guava,Class_A,Guava_Class_A_084,FABR_D,0.0,0.0,0.0,0.0,25.34456798702803
Guava,Class_A,Guava_Class_A_084,FABR_E,0.0,0.0,0.0,0.0,21.73384294649062
Guava,Class_B,Guava_Class_B_084,Original Otsu,0.43548328422278004,0.6067410035478966,0.4428618993008028,0.9631506959530132,21.866202879792915
Guava,Class_B,Guava_Class_B_084,Otsu + Morphology 7x7,0.4394282789881562,0.610559463646291,0.4460813418435505,0.9671735457398021,21.799061640511244
Guava,Class_B,Guava_Class_B_084,FABR_A,0.5497417705670614,0.7094624162655266,0.6099085542308138,0.8478558210636414,13.976702798899854
Guava,Class_B,Guava_Class_B_084,FABR_B,0.5618174912164087,0.7194406444748442,0.5781784422945373,0.9520476305414756,16.555573531790973
Guava,Class_B,Guava_Class_B_084,FABR_C,0.5334555863672958,0.6957561615866997,0.5457082723279648,0.9596105881406388,17.6799870571105
Guava,Class_B,Guava_Class_B_084,FABR_D,0.5130602616341411,0.6781755818238512,0.523546918767507,0.962426582991391,18.482446206115515
Guava,Class_B,Guava_Class_B_084,FABR_E,0.5479401779979814,0.7079604054294352,0.5604091399615259,0.960978357068147,17.240737744701505
Guava,Defect,Guava_Defect_084,Original Otsu,0.323219536099314,0.4885350121902293,0.35273407905878157,0.7943596949016459,43.378827714197335
Guava,Defect,Guava_Defect_084,Otsu + Morphology 7x7,0.32013491414554374,0.48500332915253713,0.35072671489037693,0.7858791649939784,43.16134395298484
Guava,Defect,Guava_Defect_084,FABR_A,0.3562246073615912,0.5253180121168765,0.4736926984638955,0.5895724608590928,23.974443241571297
Guava,Defect,Guava_Defect_084,FABR_B,0.3673323397913562,0.5372978157562017,0.4749865104447699,0.6184263348052991,25.079260748530775
Guava,Defect,Guava_Defect_084,FABR_C,0.3737990781362803,0.5441830382407632,0.4555976715852173,0.675531914893617,28.560934116919267
Guava,Defect,Guava_Defect_084,FABR_D,0.38002226227075164,0.5507480171304565,0.44610023955449085,0.7195403452428744,31.06924682957006
Guava,Defect,Guava_Defect_084,FABR_E,0.37952728636980176,0.5502280239320531,0.47180167898399944,0.659925732637495,26.9428549334983
Mango,Overripe,Mango_Overripe_084,Original Otsu,0.6573283796900626,0.7932385491558284,0.8216123499142367,0.7667590676609535,49.773030151590866
Mango,Overripe,Mango_Overripe_084,Otsu + Morphology 7x7,0.6582467565163391,0.7939068825910931,0.8243788624038341,0.7656073087885058,49.531484257871064
Mango,Overripe,Mango_Overripe_084,FABR_A,0.5064981608978592,0.6724178947500219,0.937537097168395,0.5241869363213993,29.81946526736632
Mango,Overripe,Mango_Overripe_084,FABR_B,0.5066734724742892,0.6725723678432062,0.9413438235397422,0.5231913481435209,29.64247043145094
Mango,Overripe,Mango_Overripe_084,FABR_C,0.5305889290189431,0.6933134285232718,0.9044477949491142,0.5620973724280639,33.14592703648176
Mango,Overripe,Mango_Overripe_084,FABR_D,0.5295029622930547,0.6923856642934717,0.9066173682214638,0.5600476320618436,32.94602698650675
Mango,Overripe,Mango_Overripe_084,FABR_E,0.5022563773342649,0.6686693229094657,0.9387683077466031,0.5192675594424706,29.500874562718643
