fruit,category,image,selected_method,selection_mean_IoU,selection_mean_Dice,selection_mean_Precision,selection_mean_Recall,IoU,Dice,Precision,Recall
Apple,Overripe,Apple_Overripe_084,Otsu + Morphology 7x7,0.1919335659564514,0.2773872744432393,0.20971692687810176,0.40953331669578236,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084,Otsu + Morphology 7x7,0.1919335659564514,0.2773872744432393,0.20971692687810176,0.40953331669578236,0.0,0.0,0.0,0.0
Apple,Rotten,Apple_Rotten_084,FABR_A,0.0,0.0,0.0,0.0,0.1196556875578003,0.2137365779274413,0.4523937600860678,0.1399218035105232
Banana,Overripe,Banana_Overripe_084,FABR_D,0.13121573717141585,0.20787779746971405,0.17281297038038626,0.26079465609178587,0.393388806565599,0.5646504474730453,0.6287484059027145,0.5124124005226274
Banana,Ripe,Banana_Ripe_084,FABR_C,0.32826501003983466,0.48964620177103085,0.4709169953076684,0.541493286922158,0.0,0.0,0.0,0.0
Banana,Rotten,Banana_Rotten_084,FABR_C,0.200904248175836,0.28663579754111446,0.3100089797610002,0.2665399691174724,0.2547215237279974,0.4060208084598328,0.3218160310933363,0.5499066356093711
Grape,Overripe,Grape_Overripe_084,Otsu + Morphology 7x7,0.16875036259209836,0.2523368539764471,0.1705911676734502,0.484509036395436,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094,Otsu + Morphology 7x7,0.16875036259209836,0.2523368539764471,0.1705911676734502,0.484509036395436,0.0,0.0,0.0,0.0
Grape,Rotten,Grape_Rotten_064,FABR_D,0.02036558712497515,0.03913707521954945,0.02826650488114275,0.06359349795259955,0.1141880341880342,0.2049708499539736,0.2163612807699426,0.1947197468143583
Guava,Class_A,Guava_Class_A_084,FABR_B,0.4645749155038824,0.628369230115523,0.5265824763696536,0.7852369826733874,0.0,0.0,0.0,0.0
Guava,Class_B,Guava_Class_B_084,FABR_D,0.1900111311353758,0.27537400856522826,0.2230501197772454,0.3597701726214372,0.5130602616341411,0.6781755818238512,0.523546918767507,0.962426582991391
Guava,Defect,Guava_Defect_084,FABR_B,0.28090874560820434,0.3597203222374221,0.28908922114726865,0.4760238152707378,0.3673323397913562,0.5372978157562017,0.4749865104447699,0.6184263348052991
Mango,Overripe,Mango_Overripe_084,FABR_C,0.14263613006602754,0.22195473206800936,0.19350848918706196,0.26020562443302087,0.5305889290189431,0.6933134285232718,0.9044477949491142,0.5620973724280639
Mango,Ripe,Mango_Ripe_064,Original Otsu,0.41499152217241564,0.5438532982498351,0.505199336377745,0.7178468254341457,0.0,0.0,0.0,0.0
Mango,Rotten,Mango_Rotten_084,Otsu + Morphology 7x7,0.32912337825816956,0.39695344129554655,0.41218943120191703,0.3828036543942529,0.1716395359531223,0.2929903450441257,0.1884185476310665,0.6584013708295535
Melon,Overripe,Melon_Overripe_014,Otsu + Morphology 7x7,0.13284194139367994,0.2099133017339653,0.1361306200268477,0.458325145739176,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084,Otsu + Morphology 7x7,0.13284194139367994,0.2099133017339653,0.1361306200268477,0.458325145739176,0.0,0.0,0.0,0.0
Melon,Rotten,Melon_Rotten_010,FABR_A,0.0,0.0,0.0,0.0,0.1051029310760891,0.1902138309844959,0.1952481120038622,0.1854326324752734
Orange,Overripe,Orange_Overripe_084,Otsu + Morphology 7x7,0.37395792578324855,0.42789007885946484,0.43965395230344634,0.4167393345854575,0.4811123328485794,0.6496635294681131,0.5965213184686765,0.7132003049662171
Orange,Ripe,Orange_Ripe_084,Otsu + Morphology 7x7,0.6145140922075383,0.7527218435935215,0.7379146115377846,0.773339487068566,0.0,0.0,0.0,0.0
Orange,Rotten,Orange_Rotten_084,Original Otsu,0.2405591192634611,0.3248344568394679,0.29736991568002097,0.35788837184846334,0.7446514630594382,0.8536392268901778,0.8767101495386573,0.8317514086396566
Peach,Overripe,Peach_Overripe_084,Otsu + Morphology 7x7,0.16880537100204385,0.2875752350219985,0.17218283339015616,0.9302103250478011,0.0943722183181072,0.1724682274247491,0.096418100955306,0.8164316473866419
Peach,Ripe,Peach_Ripe_084,FABR_E,0.17117598717023394,0.29207399058865546,0.1861836302445129,0.6856172955311275,0.1734855692990802,0.2956756756756756,0.1734855692990802,1.0
Peach,Rotten,Peach_Rotten_084,FABR_A,0.1938439016665264,0.32472162344142463,0.19984865026359988,0.8876973739761884,0.1297188988268091,0.2296480991183199,0.1570509439932496,0.4270554493307839
Pear,Overripe,Pear_Overripe_032,FABR_C,0.10729526301196825,0.1878085941481013,0.17013210073863205,0.2105018578299401,0.3444075984606566,0.5123559236871356,0.53307775172676,0.4931848160633152
Pear,Ripe,Pear_Ripe_047,FABR_C,0.19402500444273602,0.29799536020614553,0.30176833589782426,0.2980283749982544,0.1709481155991211,0.2919823915710471,0.2698052814083755,0.3181317817266866
Pear,Rotten,Pear_Rotten_084,FABR_C,0.2576778570298889,0.40216915762909133,0.40144151656756777,0.40565829889500093,0.0436424104248154,0.0836347967251555,0.0704589200688886,0.1028719339331936
