fruit,method,IoU,Dice,Precision,Recall,Overall_Score
Apple,FABR_A,0.039885229185933437,0.07124552597581377,0.15079792002868928,0.0466406011701744,0.07714231909015272
Apple,FABR_B,0.039706090151194,0.07095959595959596,0.147158942131448,0.0467515181765244,0.07614403660469059
Apple,FABR_C,0.06133806986382473,0.1036103610361036,0.15048992420040672,0.0790006377727865,0.09860974821828038
Apple,FABR_D,0.05871350995207277,0.09984097726697748,0.14332036316472113,0.07660205751046777,0.09461922697355979
Apple,FABR_E,0.03889502254117213,0.06966157902325483,0.13543168348550377,0.0468901644344619,0.07271961237109816
Apple,Original Otsu,0.1277894409454941,0.1847511452097912,0.1395042865631101,0.27343814990433407,0.18137075565568236
Apple,Otsu + Morphology 7x7,0.12795571063763425,0.1849248496288262,0.13981128458540118,0.27302221113052155,0.18142851399559579
Banana,FABR_A,0.20546177853605904,0.31197288481164637,0.3287007991904541,0.32326893560036846,0.29235109953463195
Banana,FABR_B,0.20272054967363284,0.309136222402354,0.33803605947526477,0.3067314199415345,0.2891560628731965
Banana,FABR_C,0.21884334002655645,0.32643080118068724,0.3139446635384456,0.360995524614772,0.3050535823401153
Banana,FABR_D,0.21860676030281023,0.32680201413749116,0.324791448887829,0.344667237568733,0.3037168652242158
Banana,FABR_E,0.15567744853118348,0.24362824081670287,0.492476626336458,0.1798552434861094,0.2679093897926134
Banana,Original Otsu,0.20290097037872798,0.30931817342726275,0.21149421999422668,0.5757797740359106,0.324873284459032
Banana,Otsu + Morphology 7x7,0.20265649162097024,0.3090128988973729,0.2113231754416649,0.5749589701724817,0.32448788403312245
Grape,FABR_A,0.024425020147541998,0.04551493097672266,0.0474255965815052,0.04375225562866103,0.04027945083360772
Grape,FABR_B,0.0171290043589139,0.032906122309755904,0.042356187220320037,0.0283505638241888,0.030185469428294656
Grape,FABR_C,0.043791454861496666,0.07885740348338893,0.07150087487239773,0.09010068264111376,0.07106260396459926
Grape,FABR_D,0.051639736145994826,0.09441500013102416,0.09096476351074269,0.10730224757318581,0.08608043684023686
Grape,FABR_E,0.0099407742475855,0.019479136829623666,0.0199197429508286,0.024102910643399436,0.0183606411678593
Grape,Original Otsu,0.11133022068845516,0.16691304347826086,0.1129350160327126,0.3197301574081785,0.17772710940190178
Grape,Otsu + Morphology 7x7,0.11250024172806557,0.1682245693176314,0.11372744511563347,0.323006024263624,0.17936457010623863
Guava,FABR_A,0.3019887926428842,0.4115934761274677,0.3612004175649031,0.4791427606409114,0.3884813617440416
Guava,FABR_B,0.3097166103359216,0.41891282007701536,0.3510549842464357,0.5234913217822582,0.40079393411040776
Guava,FABR_C,0.3024182215011921,0.4133130666091543,0.3337686479710607,0.5450475010114185,0.39863685927320636
Guava,FABR_D,0.2976941746349642,0.4096411996514359,0.32321571944066596,0.5606556427447552,0.39780168411795536
Guava,FABR_E,0.30915582145592774,0.41939614312049606,0.34407027298184173,0.5403013632352139,0.4032309001983698
Guava,Original Otsu,0.2529009401073647,0.365092005246042,0.26519865945319476,0.5858367969515531,0.36725710043953863
Guava,Otsu + Morphology 7x7,0.25318773104456666,0.36518759759960934,0.2656026855779758,0.5843509035779267,0.36708222945001967
Mango,FABR_A,0.259615427058894,0.36684034887082867,0.44339016358962197,0.33160160586112297,0.3503618863451169
Mango,FABR_B,0.2601337999945276,0.36745944270773573,0.4446022891568729,0.33273128935026275,0.35123170530234976
Mango,FABR_C,0.2719537297169994,0.3790742975530968,0.4304882577744127,0.36083620709803527,0.36058812303563603
Mango,FABR_D,0.27152958399943,0.3786897780898357,0.4307102885519452,0.3608585343441706,0.3604470462463454
Mango,FABR_E,0.25897717149952443,0.3665473642024197,0.4434028789882367,0.33288490599834525,0.3504530801721315
Mango,Original Otsu,0.2766610147816104,0.36256886549989004,0.3367995575851633,0.47856455028943046,0.3636484970390235
Mango,Otsu + Morphology 7x7,0.27662876415648713,0.3622990758784062,0.3375991366783002,0.47466955987268644,0.36279913414647
Melon,FABR_A,0.03503431035869637,0.0634046103281653,0.06508270400128739,0.061810877491757794,0.056333125544976714
Melon,FABR_B,0.034495342360510904,0.06252066906863,0.06671867454214493,0.058819676426278895,0.05563859059939118
Melon,FABR_C,0.0418868663143472,0.07442183968005563,0.07000731247354038,0.07943058011833799,0.0664366496465703
Melon,FABR_D,0.03924711077870967,0.07022574837897687,0.06837288661392893,0.07218183009104603,0.06250689396566537
Melon,FABR_E,0.033397433381735404,0.06071199258043803,0.06665622307511553,0.05574114102312177,0.054126697515102684
Melon,Original Otsu,0.08789081527153193,0.1391037931746233,0.09006972287973207,0.30532084452304536,0.15559629396223318
Melon,Otsu + Morphology 7x7,0.0885612942624533,0.13994220115597686,0.09075374668456514,0.30555009715945064,0.15620183481561148
Orange,FABR_A,0.2295413342112199,0.34103411715330184,0.5099325059428047,0.2672363906095726,0.3369360869792247
Orange,FABR_B,0.22533320779913094,0.33571081436042743,0.5065983360377898,0.2591661778021968,0.33170213399988624
Orange,FABR_C,0.260567596313469,0.3734925084271681,0.5122997155469055,0.30345302729364126,0.362453211895296
Orange,FABR_D,0.2526253174554262,0.3641253483804871,0.5091252710400366,0.29044512153972285,0.35408026460391817
Orange,FABR_E,0.21606671234924021,0.3235374238078756,0.500350329972277,0.24312466620997772,0.3207697830848426
Orange,Original Otsu,0.4085899005287868,0.5011027135230378,0.49048332696623315,0.5158427174455277,0.4790046646158964
Orange,Otsu + Morphology 7x7,0.40967606147169217,0.501814562395681,0.4919430743585231,0.5155596580457107,0.47974833906790176
Peach,FABR_A,0.17246890071995394,0.29303044866705635,0.1855827481734831,0.7341500657610536,0.34630804083038674
Peach,FABR_B,0.1717141286991225,0.29254101823780965,0.1831420226656245,0.7628157016267701,0.35255321780733173
Peach,FABR_C,0.16591285597580685,0.28458248135970354,0.17489130151355928,0.7986768302327235,0.3560158672704483
Peach,FABR_D,0.16536718432028663,0.2837908485671088,0.17349353345060825,0.8167049866946813,0.35983913825817126
Peach,FABR_E,0.17194584787984937,0.2932745522843288,0.181950943262702,0.790411530354085,0.3593957184452413
Peach,Original Otsu,0.14163255115379858,0.2457455070139063,0.14448638574934053,0.8921003373916884,0.3559911953271835
Peach,Otsu + Morphology 7x7,0.1439943201073983,0.24920623248958204,0.14692792257853945,0.8922840991607481,0.358103143584067
Pear,FABR_A,0.16447142626190264,0.26228156308265205,0.2983321805291593,0.23687346142688961,0.2404896578251509
Pear,FABR_B,0.16997680733882625,0.2701479703767269,0.32759508358856976,0.2352076978782133,0.2507318897955841
Pear,FABR_C,0.18633270816153102,0.29599103732777937,0.29111398440134134,0.3047295105743985,0.26954181011626255
Pear,FABR_D,0.18255371053999023,0.28997295447097765,0.28492465723965543,0.29743300495060426,0.2637210818003069
Pear,FABR_E,0.16908889674445868,0.2684518569835313,0.36928112453806944,0.22697959611908355,0.25845036859628573
Pear,Original Otsu,0.14050474511304953,0.23357899444456756,0.16904351634213813,0.5657400147683844,0.2772168176670349
Pear,Otsu + Morphology 7x7,0.1417256187867195,0.2347103717330259,0.1709008793785558,0.5646736119022113,0.27800262045012814
