fruit,category,image,relative_path,processed_path,mask_path,colour_space,feature_version,L_mean,a_mean,b_mean,L_std,a_std,b_std,L_hist_1,L_hist_2,L_hist_3,L_hist_4,L_hist_5,L_hist_6,L_hist_7,L_hist_8,L_hist_9,L_hist_10,L_hist_11,L_hist_12,L_hist_13,L_hist_14,L_hist_15,L_hist_16,a_hist_1,a_hist_2,a_hist_3,a_hist_4,a_hist_5,a_hist_6,a_hist_7,a_hist_8,a_hist_9,a_hist_10,a_hist_11,a_hist_12,a_hist_13,a_hist_14,a_hist_15,a_hist_16,b_hist_1,b_hist_2,b_hist_3,b_hist_4,b_hist_5,b_hist_6,b_hist_7,b_hist_8,b_hist_9,b_hist_10,b_hist_11,b_hist_12,b_hist_13,b_hist_14,b_hist_15,b_hist_16,glcm_contrast_mean,glcm_contrast_dir_std,glcm_dissimilarity_mean,glcm_dissimilarity_dir_std,glcm_homogeneity_mean,glcm_homogeneity_dir_std,glcm_energy_mean,glcm_energy_dir_std,glcm_correlation_mean,glcm_correlation_dir_std,glcm_asm_mean,glcm_asm_dir_std,glcm_entropy_mean,glcm_entropy_dir_std,glcm_variance_mean,glcm_variance_dir_std,lbp_bin_0,lbp_bin_1,lbp_bin_2,lbp_bin_3,lbp_bin_4,lbp_bin_5,lbp_bin_6,lbp_bin_7,lbp_bin_8,lbp_bin_9,lbp_entropy,lbp_energy,lbp_dominant,lbp_bin_variance
Apple,Ripe,Apple_Ripe_084.jpg,Apple/Ripe/Apple_Ripe_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Ripe\Apple_Ripe_084_mask.png,Lab,Enhanced,87.24127436922232,163.34706501510206,159.50781035482197,42.34188356271514,13.819111937835364,11.20503203001652,0.049600329499344,0.0641951673429538,0.0703618390944869,0.0871380846325166,0.1378863227263019,0.2007390853342281,0.1411317387192237,0.0836333404521462,0.0626277572688165,0.0493257467126338,0.0255781493120175,0.0154185862037404,0.0057052201238673,0.0054230100375263,0.0012356225401958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008161210604997,0.1298128260670591,0.1804352137169355,0.4902294291728954,0.1987064099826096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1369672331207858,0.2216874637703266,0.641345303108887,0.0,0.0,0.0,0.0,0.0,0.1192013700638024,0.019630702722934,0.1111503382647562,0.0181155043528165,0.9451174255041545,0.0089179834395953,0.225860976974004,0.003537784528229,0.9976790254242592,0.0003836889525133,0.0510256968390197,0.0015988210836041,4.835631177607504,0.0717417718935678,25.682352349332437,0.0314302593750182,0.0029365103578728,0.0143660188546846,0.003165329346798,0.1124187692589315,0.1482136864264575,0.2802155474875675,0.0637565976141806,0.0899067943985111,0.2633210788052598,0.021699667449736,2.6084022282924364,0.1953080560092068,0.2802155474875675,3.627039668754282
Apple,Overripe,Apple_Overripe_084.jpg,Apple/Overripe/Apple_Overripe_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_084_mask.png,Lab,Enhanced,196.2735523196749,142.64244835760243,167.3324669827294,55.66694618479461,21.2000571779286,29.40730940894952,0.0,0.0,0.0,0.0,0.0002031832035218,0.0491703352522857,0.0766847273958685,0.0568574331188621,0.0458686081950558,0.0452251947172366,0.0608025736539112,0.068354216051473,0.0787673552319674,0.092363697934304,0.0925838130714526,0.33311886217406,0.0,0.0,0.0,0.0,0.0,0.0,0.0098713173044361,0.2422113105316625,0.3782932610904162,0.1216728750423297,0.0918049441246189,0.1561462919065356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028614967829326,0.3034202505926174,0.0381476464612258,0.1746444293938366,0.1655773789366744,0.2407382323061291,0.0488570944801895,0.0,0.0,0.6135709055971954,0.237137965782346,0.2714148079089356,0.0625888299519443,0.8887852575156092,0.020481654313366,0.3019766959678767,0.0041311449724323,0.9947300055335654,0.0020376859770549,0.0912069912664587,0.0025020724703944,5.06116109888112,0.1433841205414944,58.21808419852266,0.0128153812661473,0.0057907213003725,0.0184727395868608,0.0088554012868269,0.1052150355570606,0.2422197764984761,0.2454622417880121,0.0651032847951236,0.0605147307822553,0.2130460548594649,0.0353200135455469,2.6915714712785865,0.1849821238516187,0.2454622417880121,3.824974486276648
Apple,Rotten,Apple_Rotten_084.jpg,Apple/Rotten/Apple_Rotten_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Rotten\Apple_Rotten_084_mask.png,Lab,Enhanced,119.409796314258,145.2579480547473,150.4617819808169,34.771423874468695,7.709921704953495,13.090488526094155,0.0,0.0,0.0,0.0136194633042353,0.0977880159499944,0.1837886625713975,0.1595403599525808,0.1698324172863452,0.1362619894385169,0.1131991593921757,0.0629917016919925,0.0267000754391636,0.0172028235801271,0.0110329776915615,0.0065200991486151,0.0015222545532923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079480547472787,0.3965001616553502,0.5860006466214024,0.0095511369759672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154380860006466,0.3155647160254333,0.4821505550167037,0.1155701045371266,0.0708993426015733,0.0003771958185149,0.0,0.0,0.0,0.3294356434124499,0.0758480010755906,0.2462844696565713,0.0443972740646062,0.8844242196319997,0.0194565182344606,0.2208547427915211,0.0070265762401536,0.9911106931463844,0.0020580633164788,0.0488261901871676,0.0031096013709453,5.035743958545943,0.1244777382040118,18.536474645352143,0.0370167892120768,0.0045802349391098,0.0176069619571074,0.0096050220928979,0.1174560836297014,0.2711229658368358,0.2876656967345619,0.0833737471710313,0.065888026727018,0.1146136437116068,0.0280876172001293,2.653409861205437,0.1956960027225834,0.2876656967345619,3.0495973302668467
Banana,Ripe,Banana_Ripe_084.jpg,Banana/Ripe/Banana_Ripe_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Ripe\Banana_Ripe_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Banana\Ripe\Banana_Ripe_084_mask.png,Lab,Enhanced,139.84316492782622,143.04065135057883,163.02256324138918,25.335470057502096,6.101074777349942,32.57430065691872,0.0006788623695869,0.0006788623695869,0.0012862655423753,0.0031174074603401,0.0112280262969844,0.0240370873231384,0.1072959839931398,0.138273545805345,0.2229884236101184,0.2791732170930396,0.1431059739888522,0.0650903958839502,0.0030459482635415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5152922681149059,0.4847077318850932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002411747891953,0.3032371016149776,0.0352651136201228,0.0334071745033585,0.0578640846076889,0.3460143632985562,0.2239709875660995,0.0,0.0,0.0,0.253176966145628,0.0776184207477595,0.1508262927725068,0.0322893517530866,0.9324815585545428,0.0130129847576656,0.2706313623080859,0.0060834570487153,0.98774525133899,0.0037857188174149,0.073278342714394,0.00327768184021,4.405466913982746,0.1059670582991144,10.336467900804314,0.0279702629928647,0.0019919251107617,0.0102722595398027,0.0019115335143632,0.1040445905388023,0.1629091039016721,0.3151082606831499,0.0592396741460626,0.0896276975846791,0.2390310132914106,0.0158639416892954,2.5359343013174414,0.2057009630755715,0.3151082606831499,3.283707060240006
Banana,Overripe,Banana_Overripe_084.jpg,Banana/Overripe/Banana_Overripe_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Overripe\Banana_Overripe_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Banana\Overripe\Banana_Overripe_084_mask.png,Lab,Enhanced,174.63541136196457,132.45484637582754,144.23253692072657,58.42036193487797,4.153039226430786,14.971824639714043,0.0,0.0002899903808068,0.0084450857239857,0.0146975612516267,0.01761161093193,0.0258020709556951,0.0457760425507836,0.0878600124483675,0.1314222259944547,0.1626987495048943,0.1436371866689299,0.022746562553047,0.0108923216205511,0.0116066881683924,0.0177035591014541,0.2988103321450799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0641090929666722,0.9346602161489272,0.0012306908843999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000381938550331,0.1517569173315225,0.3109899281389688,0.3631316131952694,0.1737396027839075,0.0,0.0,0.0,0.0,0.0,0.7229481618408639,0.1974995505244225,0.3455226537199958,0.0605361334856585,0.8572433177154217,0.0200884977571716,0.2905442621186981,0.0047997273963501,0.9937679730195128,0.0017094247564585,0.084439005633178,0.0027901234845429,5.052823442099212,0.1266128040464177,58.02151084599903,0.0690069254419955,0.0066414870140892,0.0168830985118542,0.0096545578000339,0.1071054716233803,0.2653341255021784,0.2441365359588072,0.0584295252645278,0.05570644485939,0.2060699937758162,0.0300387596899224,2.6547613976459083,0.1917831740890561,0.2653341255021784,3.743942785214394
Banana,Rotten,Banana_Rotten_084.jpg,Banana/Rotten/Banana_Rotten_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Rotten\Banana_Rotten_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Banana\Rotten\Banana_Rotten_084_mask.png,Lab,Enhanced,39.97600288145514,131.3968697942461,136.25237494934942,52.35185117233505,4.826706388890634,14.99892251051625,0.516787852865697,0.0916831750033766,0.0749572284003421,0.061917518346765,0.061050830669488,0.0428729008149115,0.0257079825311782,0.0222693710323713,0.0195117284228535,0.0265577866822745,0.0277340056728647,0.0240083742289856,0.004941245328891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442348385934896,0.923838413398766,0.0319267480077438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010805456755661,0.154287290081491,0.6894331637476923,0.0478422853541038,0.0592836882625725,0.0480730268785736,0.0,0.0,0.0,0.0,0.2684908622749908,0.0620669603848084,0.2035871115817625,0.0330308161253403,0.904443789075686,0.0137590937480126,0.4152894722319502,0.0021078320827385,0.9961737945035816,0.0008864055427641,0.1724697887027807,0.0017506783526627,4.257484648162942,0.0877481121232139,35.09057157480143,0.0305281391831024,0.0030896852910719,0.0115483319076133,0.0064720183692764,0.1000799153572554,0.224697222097159,0.2174935842600513,0.0474201971995857,0.0463283958398991,0.3255875467110891,0.0172831029669983,2.484342038127995,0.2186940390022574,0.3255875467110891,3.922354073539364
Grape,Ripe,Grape_Ripe_094.jpg,Grape/Ripe/Grape_Ripe_094.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Ripe\Grape_Ripe_094.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Grape\Ripe\Grape_Ripe_094_mask.png,Lab,Enhanced,99.310053032718,120.31668936737474,144.82671631842814,51.79200776520848,7.896777374150334,19.53967554785252,0.011562871301475,0.0494030196771669,0.0946547077404584,0.1285318920798677,0.1285898513345117,0.1143753441330743,0.1152229982322426,0.0943649114672384,0.072456313211812,0.048750978062422,0.0459254643985278,0.027385747819283,0.0224157417335612,0.0246689077578462,0.0195105340945315,0.0021807169559799,0.0,0.0,0.0,0.0,0.0,0.001934390123743,0.1063552322717129,0.8255426435216038,0.0556843538992088,0.0104833801837308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239255803170371,0.3436694004115105,0.082142753644188,0.2821021821659372,0.0528298606079925,0.0,0.0,0.0,0.0,1.4262691274740709,0.4045413941489502,0.6426523075595171,0.1017366860380063,0.739089699074015,0.0297530406832371,0.1432052717245862,0.0072625989670339,0.9807241547262328,0.0054704887677356,0.0205604951934685,0.0020785165833064,6.398905852029211,0.1701405088144638,36.99774923151784,0.0092567451828337,0.0102587880719853,0.023314110180543,0.0282841162662648,0.1586562146810792,0.3602602370533515,0.2187599617468919,0.072731619671371,0.039136986698351,0.0454545454545454,0.0431434201756165,2.627701070278469,0.2150129980561243,0.3602602370533515,3.007764761543542
Grape,Overripe,Grape_Overripe_084.jpg,Grape/Overripe/Grape_Overripe_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Overripe\Grape_Overripe_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Grape\Overripe\Grape_Overripe_084_mask.png,Lab,Enhanced,111.61796514069718,128.81662116757664,155.48990270194597,62.97763575504557,5.548466303556103,22.449349624799613,0.0032374352512949,0.1154976900461988,0.0863782724345511,0.0769109617807642,0.1317548649027017,0.0677061458770823,0.0364867702645946,0.0421916561668765,0.0639612207755843,0.0816708665826682,0.0921181576368471,0.101865462690746,0.0480015399692005,0.0211220775584487,0.0139647207055858,0.0171321573568528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4684306313873714,0.4890452190956172,0.0425241495170095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4833578328433422,0.0733235335293292,0.1296549069018617,0.303636427271454,0.0100272994540109,0.0,0.0,0.0,0.3336002399659762,0.0955190967340167,0.2317281287859881,0.0459946324173106,0.8937675141448547,0.0184524983785502,0.1878371488224953,0.0049975978989269,0.9969415848720252,0.0008749229008435,0.0353077704625236,0.0018917355064943,5.547627364020894,0.1324440268713548,54.53287151121344,0.020806469885789,0.0031674366512669,0.0127572448551028,0.0057573848523029,0.1138527229455411,0.248390032199356,0.3007314853702926,0.0654661906761864,0.0737960240795184,0.1548894022119557,0.0211920761584768,2.5962857872253733,0.1994769106437834,0.3007314853702926,3.0917378532241764
Grape,Rotten,Grape_Rotten_064.jpg,Grape/Rotten/Grape_Rotten_064.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Rotten\Grape_Rotten_064.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Grape\Rotten\Grape_Rotten_064_mask.png,Lab,Enhanced,41.2415748031496,127.02795275590552,127.52472440944882,43.61165612254209,4.567249700261629,10.647599891722155,0.351994750656167,0.1827821522309706,0.156614173228346,0.1223097112860889,0.0562467191601048,0.0308136482939631,0.017270341207349,0.0154855643044619,0.0155643044619422,0.0121522309711285,0.0108923884514435,0.011023622047244,0.0116797900262466,0.0051443569553805,2.624671916010492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095013123359579,0.3755905511811013,0.614908136482938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008530183727034,0.0959842519685036,0.2463517060367447,0.6032020997375312,0.0459317585301836,0.0,0.0,0.0,0.0,0.0,0.0,0.9979677191168276,0.2770879546522603,0.3962008277204376,0.0678105968185362,0.847662870851523,0.0203617004528672,0.2704072137354663,0.0070125049425386,0.9759880786839356,0.0072939548411017,0.0731692364657473,0.0037975628403365,4.860846629619579,0.1163223292687506,20.963396435038558,0.6065135600052256,0.0045669291338582,0.0189763779527559,0.0081102362204724,0.1022047244094488,0.3013910761154855,0.25501312335958,0.0683727034120735,0.0614435695538057,0.1485826771653543,0.0313385826771653,2.638078811532351,0.1982698727619677,0.3013910761154855,3.3359859769497318
Guava,Class_A,Guava_Class_A_084.jpg,Guava/Class_A/Guava_Class_A_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Guava\Class_A\Guava_Class_A_084.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Guava\Class_A\Guava_Class_A_084_mask.png,Lab,Enhanced,132.39135974056057,134.89135974056057,175.15360782951123,34.74811593080736,3.634372421084755,17.631816101400588,0.0031850822330321,0.0130009265693768,0.0172573546444289,0.0194579569145239,0.0130298818624044,0.0645703034514707,0.1344394255269859,0.117645355570998,0.1579800787583965,0.1944927032661564,0.235493398193189,0.0250752837618715,0.0043722492471623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0364836692147323,0.9386726893676136,0.024843641417651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1047312948807038,0.0986217280518876,0.1776986333101685,0.4670488765346292,0.1518994672226078,0.0,0.0,0.0,0.3728320356560022,0.0851114748273804,0.2430776452491878,0.0405693168037707,0.8901225307701626,0.0168671399420823,0.2411140790855721,0.0063041671237008,0.988183823783206,0.0027262910522265,0.058175741656407,0.0030453325819222,4.850343278855068,0.1049537361309661,15.785779687051416,0.0418389380323174,0.0041985174889969,0.0166203381978225,0.0066018068102849,0.1089008570766736,0.2632036136205698,0.2794764883020616,0.0751679406995598,0.0725330090340514,0.1451818392402131,0.028115589529766,2.652722507249352,0.1923596029810121,0.2794764883020616,3.218513039627528
