Image,Method,IoU,Dice,Precision,Recall
image_0.jpg,Original Otsu,0.4365,0.6077,0.4477,0.9457
image_0.jpg,Otsu + Morphology 5x5,0.4507,0.6214,0.4649,0.9368
image_0.jpg,Hybrid,0.4469,0.6177,0.6351,0.6012
image_1.jpg,Original Otsu,0.5343,0.6964,0.5635,0.9116
image_1.jpg,Otsu + Morphology 5x5,0.5439,0.7046,0.5786,0.9007
image_1.jpg,Hybrid,0.3457,0.5138,0.7090,0.4029
image_10.jpg,Original Otsu,0.4730,0.6422,0.4909,0.9285
image_10.jpg,Otsu + Morphology 5x5,0.4873,0.6553,0.5080,0.9227
image_10.jpg,Hybrid,0.4365,0.6077,0.6701,0.5559
image_100.jpg,Original Otsu,0.5486,0.7085,0.5645,0.9511
image_100.jpg,Otsu + Morphology 5x5,0.5544,0.7133,0.5718,0.9478
image_100.jpg,Hybrid,0.4405,0.6116,0.8382,0.4814
image_101.jpg,Original Otsu,0.5719,0.7276,0.5914,0.9453
image_101.jpg,Otsu + Morphology 5x5,0.5783,0.7329,0.6008,0.9392
image_101.jpg,Hybrid,0.5318,0.6944,0.8407,0.5914
image_102.jpg,Original Otsu,0.5615,0.7192,0.5728,0.9660
image_102.jpg,Otsu + Morphology 5x5,0.5670,0.7237,0.5799,0.9624
image_102.jpg,Hybrid,0.4812,0.6497,0.8933,0.5105
image_103.jpg,Original Otsu,0.5481,0.7081,0.5576,0.9698
image_103.jpg,Otsu + Morphology 5x5,0.5525,0.7117,0.5628,0.9680
image_103.jpg,Hybrid,0.4920,0.6595,0.8884,0.5244
image_104.jpg,Original Otsu,0.6448,0.7840,0.6664,0.9519
image_104.jpg,Otsu + Morphology 5x5,0.6533,0.7903,0.6754,0.9523
image_104.jpg,Hybrid,0.4883,0.6562,0.8807,0.5229
image_105.jpg,Original Otsu,0.6862,0.8139,0.7194,0.9369
image_105.jpg,Otsu + Morphology 5x5,0.6948,0.8199,0.7296,0.9357
image_105.jpg,Hybrid,0.4490,0.6197,0.9039,0.4715
image_106.jpg,Original Otsu,0.5997,0.7497,0.6291,0.9277
image_106.jpg,Otsu + Morphology 5x5,0.6091,0.7571,0.6422,0.9219
image_106.jpg,Hybrid,0.4534,0.6239,0.8801,0.4833
image_107.jpg,Original Otsu,0.6097,0.7575,0.6543,0.8995
image_107.jpg,Otsu + Morphology 5x5,0.6211,0.7663,0.6679,0.8987
image_107.jpg,Hybrid,0.4510,0.6217,0.8351,0.4951
image_108.jpg,Original Otsu,0.4864,0.6545,0.5088,0.9171
image_108.jpg,Otsu + Morphology 5x5,0.4993,0.6660,0.5231,0.9164
image_108.jpg,Hybrid,0.5103,0.6758,0.7436,0.6193
image_109.jpg,Original Otsu,0.4558,0.6262,0.4744,0.9206
image_109.jpg,Otsu + Morphology 5x5,0.4694,0.6389,0.4902,0.9170
image_109.jpg,Hybrid,0.5392,0.7006,0.7509,0.6567
image_11.jpg,Original Otsu,0.5238,0.6875,0.5606,0.8885
image_11.jpg,Otsu + Morphology 5x5,0.5343,0.6965,0.5773,0.8776
image_11.jpg,Hybrid,0.3834,0.5543,0.7573,0.4371
image_110.jpg,Original Otsu,0.4625,0.6325,0.4915,0.8867
image_110.jpg,Otsu + Morphology 5x5,0.4713,0.6407,0.5042,0.8785
image_110.jpg,Hybrid,0.4612,0.6312,0.7074,0.5699
image_111.jpg,Original Otsu,0.6336,0.7757,0.7097,0.8552
image_111.jpg,Otsu + Morphology 5x5,0.6312,0.7739,0.7199,0.8368
image_111.jpg,Hybrid,0.5105,0.6759,0.8694,0.5529
image_112.jpg,Original Otsu,0.5347,0.6968,0.5811,0.8700
image_112.jpg,Otsu + Morphology 5x5,0.5420,0.7029,0.5960,0.8567
image_112.jpg,Hybrid,0.4318,0.6032,0.8316,0.4732
image_113.jpg,Original Otsu,0.5802,0.7343,0.6224,0.8954
image_113.jpg,Otsu + Morphology 5x5,0.5904,0.7425,0.6403,0.8835
image_113.jpg,Hybrid,0.4677,0.6373,0.8382,0.5141
image_114.jpg,Original Otsu,0.5973,0.7479,0.6590,0.8646
image_114.jpg,Otsu + Morphology 5x5,0.6198,0.7653,0.6943,0.8525
image_114.jpg,Hybrid,0.5721,0.7278,0.8604,0.6306
image_115.jpg,Original Otsu,0.5068,0.6727,0.5503,0.8650
image_115.jpg,Otsu + Morphology 5x5,0.5222,0.6861,0.5778,0.8443
image_115.jpg,Hybrid,0.4996,0.6663,0.8280,0.5575
image_116.jpg,Original Otsu,0.4988,0.6656,0.5170,0.9343
image_116.jpg,Otsu + Morphology 5x5,0.5112,0.6766,0.5343,0.9222
