fruit,category,image,method,window_size,darkness_weight,local_contrast_weight,iou,dice,precision,recall
Apple,Ripe,Apple_Ripe_084.jpg,Original Otsu,,,,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + Morphology 7x7,,,,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Local Contrast-Guided Otsu (11x11),11.0,,,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 11x11,11.0,0.8,0.2,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 11x11,11.0,0.7,0.3,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 11x11,11.0,0.6,0.4,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Local Contrast-Guided Otsu (21x21),21.0,,,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 21x21,21.0,0.8,0.2,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 21x21,21.0,0.7,0.3,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 21x21,21.0,0.6,0.4,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Local Contrast-Guided Otsu (31x31),31.0,,,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 31x31,31.0,0.8,0.2,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 31x31,31.0,0.7,0.3,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 31x31,31.0,0.6,0.4,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Original Otsu,,,,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + Morphology 7x7,,,,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Local Contrast-Guided Otsu (11x11),11.0,,,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 11x11,11.0,0.8,0.2,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 11x11,11.0,0.7,0.3,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 11x11,11.0,0.6,0.4,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Local Contrast-Guided Otsu (21x21),21.0,,,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 21x21,21.0,0.8,0.2,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 21x21,21.0,0.7,0.3,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 21x21,21.0,0.6,0.4,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Local Contrast-Guided Otsu (31x31),31.0,,,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 31x31,31.0,0.8,0.2,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 31x31,31.0,0.7,0.3,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 31x31,31.0,0.6,0.4,0.0,0.0,0.0,0.0
Apple,Rotten,Apple_Rotten_084.jpg,Original Otsu,,,,0.38166862514688604,0.5524749106990985,0.41904270416720424,0.8105814824057899
Apple,Rotten,Apple_Rotten_084.jpg,Otsu + Morphology 7x7,,,,0.38263343799058086,0.5534850054641707,0.4200831591873667,0.8110390150569836
