method,window_size,darkness_weight,local_contrast_weight,iou,dice,precision,recall,overall_score
Otsu + Morphology 7x7,,,,0.1952000829088777,0.27969612537326993,0.21972649919769835,0.49762417490564426,0.2980617205963726
Original Otsu,,,,0.19425459175960938,0.27872488437120574,0.2186524399576951,0.49776513544523915,0.2973492628834373
Weighted Otsu-Local (0.8/0.2) 31x31,31.0,0.8,0.2,0.17453523357459555,0.26041174025572184,0.2578389677199229,0.3388341046051404,0.25790501153884515
Weighted Otsu-Local (0.8/0.2) 21x21,21.0,0.8,0.2,0.17369996934593607,0.25917893094323957,0.257498185233196,0.3347796385687846,0.2562891810227891
Weighted Otsu-Local (0.7/0.3) 31x31,31.0,0.7,0.3,0.17053213128687553,0.25698451695212654,0.2580498025319358,0.3328421190917585,0.2546021424656741
Weighted Otsu-Local (0.7/0.3) 21x21,21.0,0.7,0.3,0.16892546265165292,0.25498738550419137,0.25856490171869145,0.3271970139362925,0.2524186909527071
Weighted Otsu-Local (0.8/0.2) 11x11,11.0,0.8,0.2,0.1683985292052311,0.25205827537822345,0.25640903976359747,0.31970819443291,0.24914350969499052
Weighted Otsu-Local (0.6/0.4) 31x31,31.0,0.6,0.4,0.16498996982767558,0.2524541156850822,0.265052051646613,0.32194708333385,0.2511108051233052
Weighted Otsu-Local (0.7/0.3) 11x11,11.0,0.7,0.3,0.163569021354248,0.24778428239228945,0.2645897824744049,0.3023711220434088,0.2445785520660878
Weighted Otsu-Local (0.6/0.4) 21x21,21.0,0.6,0.4,0.16081753126736303,0.24749793941296605,0.2665228209331531,0.3087255221994984,0.24589095345324513
Weighted Otsu-Local (0.6/0.4) 11x11,11.0,0.6,0.4,0.14840805587427017,0.23122845633998443,0.27993740032900394,0.2668815235676848,0.23161385902773582
Local Contrast-Guided Otsu (31x31),31.0,,,0.130201266648297,0.2097220232012761,0.30611836658964364,0.1971992354003396,0.21081022295988908
Local Contrast-Guided Otsu (21x21),21.0,,,0.11419138081372697,0.18824531232701525,0.30951989948856495,0.16316314295324524,0.19377993389563808
Local Contrast-Guided Otsu (11x11),11.0,,,0.06473009299862989,0.11370895250853198,0.3245868938914078,0.0785527205306727,0.1453946649823106
