fruit,category,image,method,iou,dice,precision,recall
Apple,Ripe,Apple_Ripe_084.jpg,Original Otsu,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,MC-BCS A,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,MC-BCS B,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,MC-BCS C,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,MC-BCS D,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Original Otsu,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,MC-BCS A,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,MC-BCS B,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,MC-BCS C,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,MC-BCS D,0.0,0.0,0.0,0.0
Apple,Rotten,Apple_Rotten_084.jpg,Original Otsu,0.38166862514688604,0.5524749106990985,0.41904270416720424,0.8105814824057899
Apple,Rotten,Apple_Rotten_084.jpg,Otsu + Morphology 7x7,0.38263343799058086,0.5534850054641707,0.4200831591873667,0.8110390150569836
Apple,Rotten,Apple_Rotten_084.jpg,MC-BCS A,0.30763564316195896,0.4705219604110414,0.441411233006524,0.5037434489643124
Apple,Rotten,Apple_Rotten_084.jpg,MC-BCS B,0.33568519623356075,0.5026411869805019,0.47143897996357015,0.5382663671907495
Apple,Rotten,Apple_Rotten_084.jpg,MC-BCS C,0.2726977302269773,0.4285349517804883,0.40597670350935955,0.4537476083520506
Apple,Rotten,Apple_Rotten_084.jpg,MC-BCS D,0.2627028366158801,0.41609605838843217,0.3938054740594942,0.4410614757507695
Banana,Ripe,Banana_Ripe_084.jpg,Original Otsu,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,MC-BCS A,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,MC-BCS B,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,MC-BCS C,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,MC-BCS D,0.0,0.0,0.0,0.0
Banana,Overripe,Banana_Overripe_084.jpg,Original Otsu,0.3593079141300865,0.5286630209315482,0.3594384375400658,0.9989903789048581
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + Morphology 7x7,0.3591413230286404,0.5284826779136527,0.3592640447638472,0.9990497683810429
Banana,Overripe,Banana_Overripe_084.jpg,MC-BCS A,0.4240205124220586,0.5955258491338153,0.5507644951304436,0.6482064378192184
Banana,Overripe,Banana_Overripe_084.jpg,MC-BCS B,0.38959015423454696,0.5607267049890001,0.537072786100764,0.5865601615393752
Banana,Overripe,Banana_Overripe_084.jpg,MC-BCS C,0.45713641572885944,0.6274449129050143,0.554474397830595,0.7225323672645207
Banana,Overripe,Banana_Overripe_084.jpg,MC-BCS D,0.4765603277290674,0.6455006528070704,0.5591344062635929,0.7634220216177693
Banana,Rotten,Banana_Rotten_084.jpg,Original Otsu,0.2496537556740996,0.39955668446645703,0.2757333567539083,0.7252391860935183
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + Morphology 7x7,0.24941715652087276,0.3992536123249657,0.2757878656570627,0.7228713881456099
Banana,Rotten,Banana_Rotten_084.jpg,MC-BCS A,0.24246384553745182,0.39029521286805635,0.32461876420853664,0.4892871580649508
Banana,Rotten,Banana_Rotten_084.jpg,MC-BCS B,0.2433509796891148,0.39144374141235944,0.3498749147145781,0.4442219954954088
Banana,Rotten,Banana_Rotten_084.jpg,MC-BCS C,0.23605008038193598,0.381942583279469,0.3233931789361276,0.4663791941786821
Banana,Rotten,Banana_Rotten_084.jpg,MC-BCS D,0.23716082501429261,0.3833953035355008,0.30394986022184145,0.5190675111171001
Grape,Ripe,Grape_Ripe_094.jpg,Original Otsu,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
