fruit,category,image,method,iou,dice,precision,recall
Apple,Ripe,Apple_Ripe_084.jpg,Original Otsu,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + Morphology 3x3,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + Morphology 5x5,0.0,0.0,0.0,0.0
Apple,Ripe,Apple_Ripe_084.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Original Otsu,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + Morphology 3x3,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + Morphology 5x5,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_084.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Apple,Rotten,Apple_Rotten_084.jpg,Original Otsu,0.38166862514688604,0.5524749106990985,0.41904270416720424,0.8105814824057899
Apple,Rotten,Apple_Rotten_084.jpg,Otsu + Morphology 3x3,0.38188235294117645,0.5526987910778137,0.4194340354050911,0.8100823558772149
Apple,Rotten,Apple_Rotten_084.jpg,Otsu + Morphology 5x5,0.3822559755092429,0.5530899953149623,0.41985127707727127,0.8102071375093586
Apple,Rotten,Apple_Rotten_084.jpg,Otsu + Morphology 7x7,0.38263343799058086,0.5534850054641707,0.4200831591873667,0.8110390150569836
Banana,Ripe,Banana_Ripe_084.jpg,Original Otsu,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + Morphology 3x3,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + Morphology 5x5,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Banana,Overripe,Banana_Overripe_084.jpg,Original Otsu,0.3593079141300865,0.5286630209315482,0.3594384375400658,0.9989903789048581
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + Morphology 3x3,0.35934078844777684,0.5286986037667654,0.3594636465623164,0.9990497683810429
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + Morphology 5x5,0.3592695429303716,0.5286214861488663,0.35940003845907315,0.9989903789048581
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + Morphology 7x7,0.3591413230286404,0.5284826779136527,0.3592640447638472,0.9990497683810429
Banana,Rotten,Banana_Rotten_084.jpg,Original Otsu,0.2496537556740996,0.39955668446645703,0.2757333567539083,0.7252391860935183
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + Morphology 3x3,0.24974800392583357,0.3996773799858854,0.27588455058237493,0.7249889310258533
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + Morphology 5x5,0.2497047779532156,0.39962202651123035,0.27589315819565186,0.7245654224498046
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + Morphology 7x7,0.24941715652087276,0.3992536123249657,0.2757878656570627,0.7228713881456099
Grape,Ripe,Grape_Ripe_094.jpg,Original Otsu,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + Morphology 3x3,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + Morphology 5x5,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Original Otsu,0.0,0.0,0.0,0.0
