Image,Method,IoU,Dice,Precision,Recall
image_0.jpg,Original Otsu,0.4365,0.6077,0.4477,0.9457
image_0.jpg,Otsu + Morphology 3x3,0.4435,0.6144,0.4561,0.9410
image_0.jpg,Otsu + Morphology 5x5,0.4493,0.6200,0.4631,0.9378
image_0.jpg,Otsu + Morphology 7x7,0.4497,0.6204,0.4654,0.9302
image_1.jpg,Original Otsu,0.5343,0.6964,0.5635,0.9116
image_1.jpg,Otsu + Morphology 3x3,0.5399,0.7012,0.5710,0.9083
image_1.jpg,Otsu + Morphology 5x5,0.5425,0.7034,0.5769,0.9009
image_1.jpg,Otsu + Morphology 7x7,0.5450,0.7055,0.5817,0.8964
image_10.jpg,Original Otsu,0.4730,0.6422,0.4909,0.9285
image_10.jpg,Otsu + Morphology 3x3,0.4813,0.6499,0.5003,0.9268
image_10.jpg,Otsu + Morphology 5x5,0.4879,0.6558,0.5082,0.9243
image_10.jpg,Otsu + Morphology 7x7,0.4897,0.6575,0.5121,0.9180
image_100.jpg,Original Otsu,0.5486,0.7085,0.5645,0.9511
image_100.jpg,Otsu + Morphology 3x3,0.5532,0.7123,0.5684,0.9538
image_100.jpg,Otsu + Morphology 5x5,0.5577,0.7160,0.5732,0.9537
image_100.jpg,Otsu + Morphology 7x7,0.5607,0.7185,0.5772,0.9516
image_101.jpg,Original Otsu,0.5719,0.7276,0.5914,0.9453
image_101.jpg,Otsu + Morphology 3x3,0.5754,0.7305,0.5950,0.9460
image_101.jpg,Otsu + Morphology 5x5,0.5780,0.7326,0.6001,0.9400
image_101.jpg,Otsu + Morphology 7x7,0.5851,0.7382,0.6089,0.9373
image_102.jpg,Original Otsu,0.5615,0.7192,0.5728,0.9660
image_102.jpg,Otsu + Morphology 3x3,0.5641,0.7213,0.5759,0.9649
image_102.jpg,Otsu + Morphology 5x5,0.5670,0.7237,0.5796,0.9632
image_102.jpg,Otsu + Morphology 7x7,0.5693,0.7255,0.5843,0.9568
image_103.jpg,Original Otsu,0.5481,0.7081,0.5576,0.9698
image_103.jpg,Otsu + Morphology 3x3,0.5504,0.7100,0.5599,0.9700
image_103.jpg,Otsu + Morphology 5x5,0.5534,0.7125,0.5630,0.9700
image_103.jpg,Otsu + Morphology 7x7,0.5583,0.7166,0.5681,0.9699
image_104.jpg,Original Otsu,0.6448,0.7840,0.6664,0.9519
image_104.jpg,Otsu + Morphology 3x3,0.6481,0.7865,0.6696,0.9527
image_104.jpg,Otsu + Morphology 5x5,0.6533,0.7903,0.6753,0.9524
image_104.jpg,Otsu + Morphology 7x7,0.6550,0.7915,0.6790,0.9488
image_105.jpg,Original Otsu,0.6862,0.8139,0.7194,0.9369
image_105.jpg,Otsu + Morphology 3x3,0.6902,0.8167,0.7240,0.9367
image_105.jpg,Otsu + Morphology 5x5,0.6940,0.8194,0.7286,0.9360
image_105.jpg,Otsu + Morphology 7x7,0.6978,0.8220,0.7358,0.9311
image_106.jpg,Original Otsu,0.5997,0.7497,0.6291,0.9277
image_106.jpg,Otsu + Morphology 3x3,0.6044,0.7534,0.6349,0.9263
image_106.jpg,Otsu + Morphology 5x5,0.6088,0.7568,0.6415,0.9227
image_106.jpg,Otsu + Morphology 7x7,0.6093,0.7572,0.6460,0.9145
image_107.jpg,Original Otsu,0.6097,0.7575,0.6543,0.8995
image_107.jpg,Otsu + Morphology 3x3,0.6154,0.7619,0.6600,0.9012
image_107.jpg,Otsu + Morphology 5x5,0.6207,0.7659,0.6673,0.8987
