Image,Class,Fruit Pixels,Blemish Pixels,Blemish Percentage
image_0.jpg,Class A,200135,64179,32.07
image_1.jpg,Class A,227179,110167,48.49
image_10.jpg,Class A,165062,46039,27.89
image_100.jpg,Class A,183349,47843,26.09
image_101.jpg,Class A,183303,47830,26.09
image_102.jpg,Class A,183952,49603,26.97
image_103.jpg,Class A,183876,49642,27.00
image_104.jpg,Class A,173612,52631,30.32
image_105.jpg,Class A,189847,67251,35.42
image_106.jpg,Class A,184701,63960,34.63
image_107.jpg,Class A,172849,35464,20.52
image_108.jpg,Class A,188726,57358,30.39
image_109.jpg,Class A,165418,49492,29.92
image_11.jpg,Class A,157664,43305,27.47
image_110.jpg,Class A,147702,40838,27.65
image_111.jpg,Class A,140116,36106,25.77
image_112.jpg,Class A,125328,33422,26.67
image_113.jpg,Class A,120546,32167,26.68
image_114.jpg,Class A,136406,23269,17.06
image_115.jpg,Class A,124557,26827,21.54
image_116.jpg,Class A,113379,18994,16.75
image_117.jpg,Class A,117552,22353,19.02
image_118.jpg,Class A,187939,37361,19.88
image_119.jpg,Class A,164429,58858,35.80
image_12.jpg,Class A,155103,42303,27.27
image_120.jpg,Class A,156196,56094,35.91
image_121.jpg,Class A,149522,37622,25.16
image_122.jpg,Class A,157811,39130,24.80
image_123.jpg,Class A,166155,52712,31.72
image_124.jpg,Class A,157145,51820,32.98
image_125.jpg,Class A,65973,7338,11.12
image_126.jpg,Class A,117406,18702,15.93
image_127.jpg,Class A,78118,12368,15.83
image_128.jpg,Class A,163190,43605,26.72
image_129.jpg,Class A,155009,39584,25.54
image_13.jpg,Class A,158470,40523,25.57
image_130.jpg,Class A,73723,19480,26.42
image_131.jpg,Class A,201371,64601,32.08
image_132.jpg,Class A,191348,64249,33.58
image_133.jpg,Class A,191157,63536,33.24
image_134.jpg,Class A,158873,61237,38.54
image_135.jpg,Class A,207854,61164,29.43
image_136.jpg,Class A,170511,48206,28.27
image_137.jpg,Class A,161783,48466,29.96
image_138.jpg,Class A,118354,20752,17.53
image_139.jpg,Class A,121731,24965,20.51
image_14.jpg,Class A,157121,50818,32.34
image_140.jpg,Class A,109200,24680,22.60
image_141.jpg,Class A,105670,23983,22.70
image_142.jpg,Class A,91482,22807,24.93
image_143.jpg,Class A,97567,26031,26.68
