fruit,category,image,relative_path,colour_space,feature_version,L_mean,a_mean,b_mean,L_std,a_std,b_std,L_hist_1,L_hist_2,L_hist_3,L_hist_4,L_hist_5,L_hist_6,L_hist_7,L_hist_8,L_hist_9,L_hist_10,L_hist_11,L_hist_12,L_hist_13,L_hist_14,L_hist_15,L_hist_16,a_hist_1,a_hist_2,a_hist_3,a_hist_4,a_hist_5,a_hist_6,a_hist_7,a_hist_8,a_hist_9,a_hist_10,a_hist_11,a_hist_12,a_hist_13,a_hist_14,a_hist_15,a_hist_16,b_hist_1,b_hist_2,b_hist_3,b_hist_4,b_hist_5,b_hist_6,b_hist_7,b_hist_8,b_hist_9,b_hist_10,b_hist_11,b_hist_12,b_hist_13,b_hist_14,b_hist_15,b_hist_16
Apple,Overripe,Apple_Overripe_001.jpg,Apple/Overripe/Apple_Overripe_001.jpg,Lab,Enhanced,95.4525515400555,130.89317072314122,150.61699680398974,55.731475744443266,8.647436111524646,16.342961357216883,0.10619709900607584,0.05389316194289322,0.08008464159027844,0.07568573736522313,0.08607277069504435,0.09473887542584195,0.10164893056579909,0.08280651845608113,0.07212095669581703,0.06534260527517291,0.09807536964843878,0.07732764373265893,0.0057598426579566556,0.0002458469427176621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013345976890387372,0.34932216485793527,0.5509868998700518,0.09835633758297326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11176377620904004,0.22271976960629347,0.29668457837249296,0.3422891862466193,0.026542689565553307,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_002.jpg,Apple/Overripe/Apple_Overripe_002.jpg,Lab,Enhanced,152.1789251176501,172.82516031442313,149.98208098464085,26.922708430275886,20.465730495849378,13.62601674253111,0.0,0.0,0.0,0.0,0.0006787505817862126,0.030563169054144888,0.05443579665925425,0.07154031132026681,0.20890003620003092,0.25597300511971854,0.1639344262295081,0.13185214873041312,0.08043517608729374,0.0016871800175828713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05739644205409316,0.02128044681181154,0.18805269690231152,0.23809277550809316,0.2918627501680714,0.19461395252624492,0.008700936029373734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047176397579769325,0.2658569064487768,0.41678517867301007,0.24986424988364261,0.02031726741480063,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_003.jpg,Apple/Overripe/Apple_Overripe_003.jpg,Lab,Enhanced,194.79728683670706,149.0750570886713,172.6127936679955,51.17954147323325,25.51143713632638,32.127976824009394,0.0,0.0,0.0007063513565816457,0.005612106668730884,0.008572976738785454,0.022341990169137262,0.03217285288539688,0.054253589813058736,0.05917869721716912,0.082497968030344,0.0753183419127607,0.09881178155358585,0.11985718156132666,0.08479119092773921,0.06042690714866271,0.2954580640167199,0.0,0.0,0.0,0.0,0.0,0.0,0.015704222626465904,0.2067674265588108,0.3100592174014008,0.1335778147617756,0.10831365870650607,0.13376165963540645,0.09181600030963338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030876262724000434,0.2938421643379646,0.04107481518752173,0.06238146843673795,0.14517939389247964,0.3120911870573206,0.11455470836397404,0.0,0.0
Apple,Overripe,Apple_Overripe_004.jpg,Apple/Overripe/Apple_Overripe_004.jpg,Lab,Enhanced,195.58143374721666,142.4480224176322,165.79657130995963,54.19226740839522,19.68874700552218,27.05404896505914,0.0,0.0,0.0,0.00014152545571196725,0.002849379175000941,0.028729667509529353,0.0812544816394308,0.06424312186285233,0.0505717628410763,0.04653356983809483,0.05093029399554662,0.08109408612295724,0.09536928708910433,0.09818092614258209,0.08806657357436683,0.3120353247537454,0.0,0.0,0.0,0.0,0.0,0.0,0.0031701702079480667,0.22791259387855206,0.39746952485186965,0.13386421104275942,0.12441031060120002,0.11317318941766982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03567384986979655,0.28668339812054167,0.04014605427029471,0.18422840321545816,0.19258784013284505,0.2606804543910629,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_005.jpg,Apple/Overripe/Apple_Overripe_005.jpg,Lab,Enhanced,189.51318405161098,145.17641873898202,168.5305408649338,56.455871855855,20.838389212366,28.47711959495974,0.0,0.0,0.0,0.0007782903867071745,0.006470124901541571,0.05696523011139862,0.08354900416338464,0.05538051836015148,0.05137654251528445,0.047916432241851346,0.0663328457297175,0.09200705149844333,0.09894602603053139,0.09424815273245556,0.05397396946851201,0.29205581186002,0.0,0.0,0.0,0.0,0.0,0.0,2.813097783278944e-05,0.20146468624582706,0.38407224035107423,0.14919732943250427,0.09601102734331037,0.16922658564945034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029453133790930546,0.2857169648550314,0.03870822549791827,0.14268031956790805,0.1859082555042945,0.31667979445632166,0.0008533063275946131,0.0,0.0
Apple,Overripe,Apple_Overripe_006.jpg,Apple/Overripe/Apple_Overripe_006.jpg,Lab,Enhanced,121.87870153387303,164.53371325095867,182.7660577332765,36.46856245079595,19.44551270593606,12.269929807956698,0.0,0.0007456327226246261,0.00794897741798039,0.015059118023008074,0.12157807839795468,0.1624680443118873,0.11172507456327212,0.12132509586706418,0.1327093097571366,0.13626438005965044,0.12029985087345531,0.06136823604601611,0.008082126118449074,0.0004260758414997864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03315402641670213,0.15587718363868747,0.1986578610992754,0.20507562846186594,0.3888208351086488,0.01841446527481889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003981146144013629,0.041715487856838464,0.21211919471665927,0.46484874307626695,0.2773354282062203,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_007.jpg,Apple/Overripe/Apple_Overripe_007.jpg,Lab,Enhanced,48.36812097174021,149.310361923649,145.67134048091225,30.565017687483152,8.39064180050122,9.372651867250019,0.1264873574615764,0.20959345562716875,0.187840852751611,0.2063243678730785,0.14634977689638054,0.0601295240456122,0.022883614278631594,0.016221492315319757,0.011279127416955857,0.007173401090728794,0.002990208230044616,0.002231036192364895,0.0004957858205255322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026958353991075813,0.2818852255825479,0.6546541893901824,0.06076474962816054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056395637084779284,0.45626239464551244,0.4381971988101133,0.09990084283589473,0.0,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_008.jpg,Apple/Overripe/Apple_Overripe_008.jpg,Lab,Enhanced,110.41237378940862,132.32120337935297,164.45759324129403,41.59756316011946,7.418289117395909,22.079179221556185,0.03125901504224188,0.02903358747166698,0.050597568514320984,0.05290541932825051,0.04755821141561915,0.06752524211827729,0.1293323717288274,0.18885225633628663,0.22353183597774548,0.11154955697506685,0.0376880280239027,0.020698536987430433,0.006336286832886867,0.00198846074593035,0.0011436225015454347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2944673397898204,0.6303626622707597,0.07516999793941884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059839274675458416,0.19125283329899012,0.11194106738100132,0.1699773336080773,0.45183391716463994,0.015155573871831841,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_009.jpg,Apple/Overripe/Apple_Overripe_009.jpg,Lab,Enhanced,28.369964132453724,141.1387825850253,137.83949673349133,36.09587505832525,9.537335060157117,13.222363351985635,0.5216766476654069,0.20995724716582329,0.0885520079420995,0.030151156087875476,0.019879267277268936,0.025755780439377433,0.03761288669698327,0.03989463908281559,0.025843848075321838,0.000496381220777557,0.0001561199000832639,2.4018446166655985e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006412925126497148,0.620172292320502,0.3645439697687823,0.008870812784218276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002601998334721065,0.08978095177096007,0.7055018254019084,0.0888082047012105,0.11063296611797857,0.005015852174469991,0.0,0.0,0.0,0.0
Apple,Overripe,Apple_Overripe_010.jpg,Apple/Overripe/Apple_Overripe_010.jpg,Lab,Enhanced,112.69468037550291,159.30877751189882,136.04466985721425,36.93284443237455,14.96358195341084,12.838314387534883,0.0,0.006251807830865914,0.041080491204081075,0.05470167503747137,0.0845933366641247,0.13380577979962652,0.19107128770149084,0.14009703121302156,0.10935075863157058,0.11529359173262503,0.0946711720003155,0.020878803018748837,0.008197691235635957,6.5739304215204145e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012753425017749604,0.18907281285334865,0.3122485471613767,0.32092613531778363,0.1756554208630255,0.0008217413026900518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04921901706592335,0.19918351784164706,0.4712324804754264,0.2561926424570721,0.024172342159930565,0.0,0.0,0.0,0.0,0.0
