Fruit,Colour_Space,Version,Method,Number_of_Classes,Number_of_Images,Number_of_Features,Accuracy,Precision,Recall,F1_Score,Fisher_Separability,Avg_Processing_Time_ms
Apple,Lab,Basic,Basic Lab,4,80,3,0.7083333333333334,0.7491071428571429,0.7083333333333333,0.7142357642357642,0.6095828242200493,6.819028749669087
Apple,Lab,Enhanced,Enhanced Lab,4,80,54,0.6666666666666666,0.6916666666666667,0.6666666666666666,0.6613636363636364,0.1799896781337124,16.983023748798587
Banana,Lab,Basic,Basic Lab,4,80,3,0.5,0.5428571428571428,0.49999999999999994,0.5013209013209012,0.42250824661619363,4.72222249936749
Banana,Lab,Enhanced,Enhanced Lab,4,80,54,0.5416666666666666,0.5604166666666667,0.5416666666666666,0.5465367965367964,0.16351060890494817,14.572546249291918
Grape,Lab,Basic,Basic Lab,4,73,3,0.6818181818181818,0.5317460317460317,0.6583333333333333,0.5833333333333333,0.24864719992309162,3.0434178084785706
Grape,Lab,Enhanced,Enhanced Lab,4,73,54,0.6818181818181818,0.7896825396825397,0.6666666666666667,0.6457708957708957,0.09444326893226611,8.211943835230569
Guava,Lab,Basic,Basic Lab,3,60,3,0.7222222222222222,0.8484848484848485,0.7222222222222223,0.7049910873440286,0.20690224965131718,3.3887233340162006
Guava,Lab,Enhanced,Enhanced Lab,3,60,54,0.9444444444444444,0.9523809523809524,0.9444444444444445,0.9440559440559441,0.17919728224331757,9.098305000467615
Mango,Lab,Basic,Basic Lab,4,80,3,0.4583333333333333,0.44999999999999996,0.45833333333333337,0.43813131313131315,0.33648018600746227,4.672886249682051
Mango,Lab,Enhanced,Enhanced Lab,4,80,54,0.5,0.47916666666666663,0.5,0.47291666666666665,0.12983193176117475,13.440343749789463
Melon,Lab,Basic,Basic Lab,4,80,3,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.6761904761904762,0.5050862883293057,5.1401475013335585
Melon,Lab,Enhanced,Enhanced Lab,4,80,54,0.6666666666666666,0.7069444444444445,0.6666666666666666,0.6734848484848486,0.16864745829833,14.737346250876726
Orange,Lab,Basic,Basic Lab,4,80,3,0.5416666666666666,0.44871794871794873,0.5416666666666667,0.46622807017543855,1.022121736175571,4.845588750686147
Orange,Lab,Enhanced,Enhanced Lab,4,80,54,0.7083333333333334,0.6994047619047619,0.7083333333333334,0.6843711843711844,0.2741761110684775,14.2570212496139
Peach,Lab,Basic,Basic Lab,4,80,3,0.5416666666666666,0.41388888888888886,0.5416666666666667,0.4541666666666666,0.23084179184488993,6.468257499545871
Peach,Lab,Enhanced,Enhanced Lab,4,80,54,0.5,0.37499999999999994,0.5,0.41180555555555554,0.092216797287791,20.66032874990924
Pear,Lab,Basic,Basic Lab,4,77,3,0.5416666666666666,0.55,0.5416666666666666,0.529040404040404,0.41198379230564314,4.539961039350223
Pear,Lab,Enhanced,Enhanced Lab,4,77,54,0.5416666666666666,0.5750000000000001,0.5416666666666666,0.5431818181818182,0.11484890227703687,12.964463636638936
