Fruit,Method,Number_of_Classes,Number_of_Images,Number_of_Features,Accuracy,Precision,Recall,F1_Score,Fisher_Separability,Avg_Processing_Time_ms
Apple,RGB,4,80,3,0.625,0.6666666666666666,0.6249999999999999,0.6345238095238095,0.17438247244551677,5.474763749043632
Apple,HSV,4,80,3,0.625,0.7277777777777779,0.625,0.5865800865800865,0.08927133187294899,5.38607999933447
Apple,Lab,4,80,3,0.7083333333333334,0.7491071428571429,0.7083333333333333,0.7142357642357642,0.6095828242200493,6.528203749439854
Banana,RGB,4,80,3,0.5,0.4803571428571428,0.5,0.48306693306693305,0.4750880119434842,4.553748749094666
Banana,HSV,4,80,3,0.5,0.5,0.49999999999999994,0.4951298701298701,0.3035729289522561,4.466227498232911
Banana,Lab,4,80,3,0.5,0.5428571428571428,0.49999999999999994,0.5013209013209012,0.42250824661619363,5.39655749907979
Grape,RGB,4,73,3,0.6363636363636364,0.515422077922078,0.6083333333333334,0.5444947209653093,0.24335502350286364,2.886831507841061
Grape,HSV,4,73,3,0.6818181818181818,0.5059523809523809,0.65,0.5671328671328671,0.19369330270468407,2.7972821922484807
Grape,Lab,4,73,3,0.6818181818181818,0.5317460317460317,0.6583333333333333,0.5833333333333333,0.24864719992309162,2.9104260272467637
Guava,RGB,3,60,3,0.7222222222222222,0.7685185185185185,0.7222222222222223,0.7252525252525253,0.11340182848971969,2.9324683326800978
Guava,HSV,3,60,3,0.8888888888888888,0.8968253968253969,0.888888888888889,0.8885003885003885,0.1730401879167817,3.01329166686628
Guava,Lab,3,60,3,0.7222222222222222,0.8484848484848485,0.7222222222222223,0.7049910873440286,0.20690224965131718,3.1344933328606808
Mango,RGB,4,80,3,0.2916666666666667,0.23055555555555554,0.29166666666666663,0.2513257575757576,0.2707048758865898,4.452524998669105
Mango,HSV,4,80,3,0.5833333333333334,0.6361111111111111,0.5833333333333333,0.5946969696969697,0.3245917045094237,4.417928750081046
Mango,Lab,4,80,3,0.4583333333333333,0.44999999999999996,0.45833333333333337,0.43813131313131315,0.33648018600746227,4.556866248822189
Melon,RGB,4,80,3,0.4166666666666667,0.5198863636363636,0.4166666666666667,0.37563025210084033,0.24750425559348008,4.749344999618188
Melon,HSV,4,80,3,0.4166666666666667,0.43506493506493504,0.4166666666666667,0.38648190045248865,0.18304464700525314,4.720236248249421
Melon,Lab,4,80,3,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.6761904761904762,0.5050862883293057,4.895388749537233
Orange,RGB,4,80,3,0.5416666666666666,0.5028846153846154,0.5416666666666666,0.4897129186602871,0.8362150567624652,4.5382974996755365
Orange,HSV,4,80,3,0.5416666666666666,0.5625,0.5416666666666667,0.5217171717171717,0.7244513069821723,4.687147499862476
Orange,Lab,4,80,3,0.5416666666666666,0.44871794871794873,0.5416666666666667,0.46622807017543855,1.022121736175571,4.679501250211615
Peach,RGB,4,80,3,0.5416666666666666,0.41388888888888886,0.5416666666666667,0.4541666666666666,0.2143887126782784,5.890276249374438
Peach,HSV,4,80,3,0.5416666666666666,0.6272893772893773,0.5416666666666666,0.4771865561339246,0.2695911404239197,6.104683749799733
Peach,Lab,4,80,3,0.5416666666666666,0.41388888888888886,0.5416666666666667,0.4541666666666666,0.23084179184488993,6.219370000690105
Pear,RGB,4,77,3,0.25,0.21726190476190477,0.25,0.2316849816849817,0.1699423924626208,3.976801298248775
Pear,HSV,4,77,3,0.20833333333333334,0.19375,0.20833333333333331,0.19805194805194803,0.2137038375675345,3.98911039028226
Pear,Lab,4,77,3,0.5416666666666666,0.55,0.5416666666666666,0.529040404040404,0.41198379230564314,4.2776467530706945
