fruit,category,image,relative_path,reason
Banana,Unripe,Banana_Unripe_082.jpg,Banana/Unripe/Banana_Unripe_082.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_004.jpg,Grape/Ripe/Grape_Ripe_004.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_015.jpg,Grape/Ripe/Grape_Ripe_015.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_018.jpg,Grape/Ripe/Grape_Ripe_018.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_031.jpg,Grape/Ripe/Grape_Ripe_031.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_036.jpg,Grape/Ripe/Grape_Ripe_036.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_042.jpg,Grape/Ripe/Grape_Ripe_042.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_051.jpg,Grape/Ripe/Grape_Ripe_051.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_055.jpg,Grape/Ripe/Grape_Ripe_055.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_064.jpg,Grape/Ripe/Grape_Ripe_064.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_069.jpg,Grape/Ripe/Grape_Ripe_069.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_073.jpg,Grape/Ripe/Grape_Ripe_073.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_074.jpg,Grape/Ripe/Grape_Ripe_074.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_085.jpg,Grape/Ripe/Grape_Ripe_085.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_088.jpg,Grape/Ripe/Grape_Ripe_088.jpg,Empty ROI mask
Grape,Ripe,Grape_Ripe_093.jpg,Grape/Ripe/Grape_Ripe_093.jpg,Empty ROI mask
Grape,Rotten,Grape_Rotten_024.jpg,Grape/Rotten/Grape_Rotten_024.jpg,Empty ROI mask
Grape,Rotten,Grape_Rotten_080.jpg,Grape/Rotten/Grape_Rotten_080.jpg,Empty ROI mask
Grape,Rotten,Grape_Rotten_099.jpg,Grape/Rotten/Grape_Rotten_099.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_001.jpg,Grape/Unripe/Grape_Unripe_001.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_005.jpg,Grape/Unripe/Grape_Unripe_005.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_006.jpg,Grape/Unripe/Grape_Unripe_006.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_007.jpg,Grape/Unripe/Grape_Unripe_007.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_010.jpg,Grape/Unripe/Grape_Unripe_010.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_011.jpg,Grape/Unripe/Grape_Unripe_011.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_015.jpg,Grape/Unripe/Grape_Unripe_015.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_030.jpg,Grape/Unripe/Grape_Unripe_030.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_033.jpg,Grape/Unripe/Grape_Unripe_033.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_036.jpg,Grape/Unripe/Grape_Unripe_036.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_056.jpg,Grape/Unripe/Grape_Unripe_056.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_058.jpg,Grape/Unripe/Grape_Unripe_058.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_062.jpg,Grape/Unripe/Grape_Unripe_062.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_064.jpg,Grape/Unripe/Grape_Unripe_064.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_070.jpg,Grape/Unripe/Grape_Unripe_070.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_074.jpg,Grape/Unripe/Grape_Unripe_074.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_075.jpg,Grape/Unripe/Grape_Unripe_075.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_076.jpg,Grape/Unripe/Grape_Unripe_076.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_080.jpg,Grape/Unripe/Grape_Unripe_080.jpg,Empty ROI mask
Grape,Unripe,Grape_Unripe_081.jpg,Grape/Unripe/Grape_Unripe_081.jpg,Empty ROI mask
Mango,Ripe,Mango_Ripe_061.jpg,Mango/Ripe/Mango_Ripe_061.jpg,Empty ROI mask
Pear,Overripe,Pear_Overripe_023.jpg,Pear/Overripe/Pear_Overripe_023.jpg,Empty ROI mask
Pear,Overripe,Pear_Overripe_034.jpg,Pear/Overripe/Pear_Overripe_034.jpg,Empty ROI mask
Pear,Overripe,Pear_Overripe_041.jpg,Pear/Overripe/Pear_Overripe_041.jpg,Empty ROI mask
Pear,Overripe,Pear_Overripe_064.jpg,Pear/Overripe/Pear_Overripe_064.jpg,Empty ROI mask
Pear,Overripe,Pear_Overripe_073.jpg,Pear/Overripe/Pear_Overripe_073.jpg,Empty ROI mask
Pear,Unripe,Pear_Unripe_015.jpg,Pear/Unripe/Pear_Unripe_015.jpg,Empty ROI mask
