fruit,category,samples,fruit_accuracy,condition_accuracy,overall_accuracy,avg_fruit_confidence,avg_condition_confidence,avg_damage_percentage
Apple,Overripe,10,1.0,0.8,0.8,84.8,58.09267835486652,17.625054588498053
Apple,Ripe,10,1.0,0.8,0.8,78.23333333333332,51.37723986430869,16.594201601638424
Apple,Rotten,10,1.0,0.6,0.6,68.36666666666666,49.082064139024524,17.239103363493275
Apple,Unripe,10,1.0,1.0,1.0,88.13333333333334,85.02031010974088,18.399328954997834
Banana,Overripe,10,1.0,1.0,1.0,74.4,58.688447770636,18.56515076973405
Banana,Ripe,10,1.0,0.7,0.7,65.43333333333334,56.11458069299497,15.259450675330408
Banana,Rotten,10,0.9,0.5,0.5,59.83333333333333,57.14944872549785,14.738430435626219
Banana,Unripe,9,1.0,1.0,1.0,72.96296296296298,62.17098192879395,16.5767120679555
Grape,Overripe,10,0.9,1.0,0.9,65.46666666666667,61.526400067786845,13.867082661148027
Grape,Ripe,9,1.0,0.6666666666666666,0.6666666666666666,50.18518518518519,39.52432747896297,11.398214848375277
Grape,Rotten,9,0.6666666666666666,0.5555555555555556,0.4444444444444444,57.333333333333336,49.12043845259662,14.43230092113334
Grape,Unripe,8,0.875,1.0,0.875,50.958333333333336,52.72072906789891,14.49941252669143
Guava,Class_A,10,1.0,1.0,1.0,68.96666666666667,71.69801152551153,13.956048143057675
Guava,Class_B,10,1.0,1.0,1.0,72.9,67.92139471639473,12.687980489765723
Guava,Defect,10,0.9,0.9,0.9,64.9,79.84569521161481,17.984360123344526
Mango,Overripe,10,0.7,0.8,0.6,46.56666666666667,40.94809924585826,13.811452345476557
Mango,Ripe,10,1.0,1.0,1.0,67.66666666666666,68.58274045227118,16.875431692489823
Mango,Rotten,10,1.0,0.3,0.3,69.33333333333334,50.6565402109259,13.339455326112358
Mango,Unripe,10,1.0,1.0,1.0,58.833333333333336,69.74196662877712,15.128197297266311
Melon,Overripe,10,0.6,0.7,0.6,36.13333333333333,53.30449970397221,16.188167251612363
Melon,Ripe,10,0.6,0.9,0.6,41.4,44.35771477930863,14.971018941640335
Melon,Rotten,10,0.8,0.3,0.3,42.99999999999999,45.51985701814182,19.618798414355567
Melon,Unripe,10,0.8,0.6,0.5,43.4,55.325347660312545,12.01901089482642
Orange,Overripe,10,1.0,0.8,0.8,48.766666666666666,49.307971090009126,15.504362098148622
Orange,Ripe,10,1.0,1.0,1.0,62.733333333333334,80.9157196605606,10.007305176467447
Orange,Rotten,10,0.9,0.5,0.5,43.833333333333336,44.984317995939406,18.261745747299035
Orange,Unripe,10,1.0,0.7,0.7,60.33333333333333,58.178764077637766,18.404415296416154
Peach,Overripe,10,1.0,0.4,0.4,80.03333333333333,39.44873088705778,14.533320381945577
Peach,Ripe,10,1.0,1.0,1.0,67.93333333333332,64.43356060862575,15.03839135881265
Peach,Rotten,10,0.9,1.0,0.9,60.06666666666666,48.8068724167758,14.28882931402639
Peach,Unripe,10,1.0,0.4,0.4,81.29999999999998,53.46306454773854,16.151397683897038
Pear,Overripe,9,0.3333333333333333,0.6666666666666666,0.2222222222222222,37.888888888888886,44.42813861896249,16.168842231810427
Pear,Ripe,10,1.0,0.9,0.9,70.36666666666666,62.73846549314553,15.794676677108981
Pear,Rotten,10,0.5,0.8,0.5,42.83333333333333,46.36349627533928,16.389369061631324
Pear,Unripe,10,0.8,0.9,0.7,64.66666666666666,59.54845571889073,14.878142296336808
