method,fruit,accuracy,samples
Colour_Texture_Fusion,Apple,0.65,80
Colour_Texture_Fusion,Banana,0.7375,80
Colour_Texture_Fusion,Grape,0.6805555555555556,72
Colour_Texture_Fusion,Guava,0.95,60
Colour_Texture_Fusion,Mango,0.725,80
Colour_Texture_Fusion,Melon,0.5454545454545454,55
Colour_Texture_Fusion,Orange,0.75,80
Colour_Texture_Fusion,Peach,0.8375,80
Colour_Texture_Fusion,Pear,0.6428571428571429,70
Proposed_PTD_Plus,Apple,0.675,80
Proposed_PTD_Plus,Banana,0.775,80
Proposed_PTD_Plus,Grape,0.75,72
Proposed_PTD_Plus,Guava,0.95,60
Proposed_PTD_Plus,Mango,0.7125,80
Proposed_PTD_Plus,Melon,0.6727272727272727,55
Proposed_PTD_Plus,Orange,0.7375,80
Proposed_PTD_Plus,Peach,0.85,80
Proposed_PTD_Plus,Pear,0.6428571428571429,70
